Device_ID,CPU_Time_s,Energy_J
97,0.779180,0.048053
98,0.747300,0.046082
99,0.751180,0.046323
100,0.728380,0.044911
101,0.789280,0.048675
102,0.771680,0.047585
103,0.734592,0.045298
104,0.748480,0.046154
105,0.772880,0.047664
106,0.731788,0.045124
107,0.890636,0.054941
108,0.990936,0.061140
109,0.551080,0.033955
110,0.555688,0.034237
111,0.565580,0.034853
112,0.563180,0.034704
113,0.568888,0.035054
114,0.575288,0.035448
115,0.549296,0.033844
116,0.724870,0.044695
117,0.724536,0.044676
118,0.778636,0.048010
119,0.724536,0.044676
120,0.748303,0.046145
