Device_ID,CPU_Time_s,Energy_J
97,0.117258,0.007219
98,0.099981,0.006151
99,0.111177,0.006843
100,0.110780,0.006819
101,0.101896,0.006269
102,0.109596,0.006745
103,0.116980,0.007202
104,0.124096,0.007641
105,0.131399,0.008093
106,0.112896,0.006949
107,0.268033,0.016532
108,0.273144,0.016848
109,0.111596,0.006869
110,0.120524,0.007418
111,0.128224,0.007895
112,0.110096,0.006776
113,0.114077,0.007022
114,0.114524,0.007047
115,0.114477,0.007046
116,0.226644,0.013974
117,0.216750,0.013363
118,0.239244,0.014751
119,0.218644,0.013480
120,0.224844,0.013863
