Device_ID,CPU_Time_s,Energy_J
97,0.568612,0.035066
98,0.530212,0.032693
99,0.517534,0.031910
100,0.536412,0.033074
101,0.555512,0.034257
102,0.546823,0.033718
103,0.521512,0.032155
104,0.541123,0.033366
105,0.560012,0.034535
106,0.516253,0.031831
107,0.649868,0.040088
108,0.722468,0.044575
109,0.378212,0.023300
110,0.391912,0.024144
111,0.421423,0.025970
112,0.411412,0.025351
113,0.412212,0.025397
114,0.404523,0.024923
115,0.394112,0.024282
116,0.519105,0.032004
117,0.530842,0.032732
118,0.546368,0.033682
119,0.527842,0.032547
120,0.557768,0.034396
