Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,49.63724800,0.76608800,0.27905600,1.91194400,0.84100000,3.06730500,0.04720800,0.01722000,0.11795200,0.05188900
82,64.19462400,0.50171200,0.51505600,9.68094400,0.71307200,3.96676600,0.03093200,0.03180500,0.59809800,0.04399400
83,47.64562400,0.53171200,0.38490400,1.58909600,1.10533600,2.94415600,0.03278600,0.02376100,0.09806000,0.06819300
84,54.47662400,0.46571200,0.43005600,1.25994400,0.86700000,3.36632900,0.02870700,0.02655200,0.07769800,0.05350300
85,32.45162400,0.98337600,0.35739200,2.01194400,1.22090400,2.00520600,0.06063900,0.02203500,0.12413500,0.07534700
86,47.67462400,1.10171200,0.38105600,1.65994400,1.26500000,2.94596100,0.06800800,0.02352300,0.10239400,0.07810300
87,61.61862400,0.53571200,0.33105600,1.78594400,0.95200000,3.80772200,0.03302700,0.02041200,0.11021600,0.05876000
88,26.49662400,0.81804800,0.38572000,1.81656800,1.91733600,1.63718400,0.05044200,0.02381200,0.11208800,0.11834700
89,29.45062400,1.13771200,0.35105600,2.29994400,13.79333600,1.81975800,0.07019600,0.02164800,0.14189700,0.85219700
90,60.55162400,1.26671200,3.36805600,2.02694400,0.58600000,3.74171100,0.07818400,0.20809900,0.12511900,0.03612000
91,32.54862400,0.72571200,0.20005600,2.06401600,0.64233600,2.01118200,0.04477100,0.01233800,0.12734100,0.03962600
92,24.43762400,0.84771200,0.55905600,1.74033600,0.69933600,1.51003900,0.05225600,0.03450300,0.10732400,0.04313800
93,58.42362400,0.79671200,0.41505600,1.56232800,3.77761600,3.61017500,0.04914000,0.02562500,0.09640500,0.23334300
94,32.20662400,0.53871200,0.11205600,1.36633600,3.95333600,1.99004700,0.03321900,0.00689900,0.08429300,0.24421800
95,48.87062400,0.59971200,0.19405600,1.15294400,0.48133600,3.01993000,0.03698800,0.01196700,0.07110500,0.02967300
96,51.58062400,0.72371200,0.18844800,11.93748800,nan,3.18727600,0.04463000,0.01162000,0.73740200,nan
97,27.92362400,1.05171200,0.31239200,1.57033600,0.61933600,1.72541000,0.06490200,0.01925900,0.09688500,0.03820100
98,31.83762400,0.74271200,0.33778400,2.36133600,0.56067200,1.96728100,0.04582600,0.02076500,0.14575500,0.03457600
99,29.95462400,0.75371200,0.21239200,5.57933600,0.54933600,1.85092800,0.04650600,0.01307900,0.34461900,0.03387500
100,53.87262400,5.08071200,0.20705600,1.41033600,0.64033600,3.32894900,0.31380500,0.01277000,0.08701200,0.03949900
