"Device","CPU_s","Energy_J"
"81","0.324392","0.020022"
"82","0.181880","0.011214"
"83","0.116880","0.007197"
"84","0.158136","0.009747"
"85","0.262136","0.016174"
"86","0.162880","0.010040"
"87","0.207272","0.012784"
"88","0.256392","0.015819"
"89","0.270136","0.016668"
"90","0.117880","0.007259"
"91","0.197136","0.012157"
"92","0.238136","0.014691"
"93","0.144880","0.008928"
"94","0.309704","0.019114"
"95","0.299880","0.018507"
"96","0.109880","0.006765"
"97","0.246136","0.015185"
"98","0.279136","0.017225"
"99","0.240312","0.014825"
"100","0.203136","0.012528"
