Run,Phase,Wall_s,CPU_s,AK_Wall_s,AK_Energy_J,Auth_Wall_s,Auth_Energy_J,KeyEx_Wall_s,KeyEx_Energy_J,Data_Wall_s,Data_Energy_J,Total_Wall_s,Total_Energy_J
1,Enrollment,0.0512,0.0014,,,,,,,,,0.0512,0.194651
1,Round1,0.0379,,0.0379,0.144019,0.0171,0.065066,0.0207,0.078846,0.0121,0.046146,0.05,0.190164
1,Round2,0.0355,,0.0355,0.135004,0.0126,0.048052,0.0229,0.086854,0.0144,0.054616,0.0499,0.18962
1,Round3,0.0388,,0.0388,0.14729,0.0165,0.06283,0.0222,0.084365,0.0111,0.042023,0.0498,0.189313
2,Enrollment,0.0567,0.0014,,,,,,,,,0.0567,0.215305
2,Round1,0.0365,,0.0365,0.138742,0.0163,0.061884,0.0202,0.076752,0.0127,0.048449,0.0493,0.187192
2,Round2,0.0447,,0.0447,0.169704,0.019,0.07234,0.0256,0.097265,0.0156,0.059431,0.0603,0.229135
2,Round3,0.0427,,0.0427,0.162292,0.0175,0.06632,0.0252,0.095869,0.0133,0.050605,0.056,0.212896
3,Enrollment,0.0933,0.0014,,,,,,,,,0.0933,0.354624
3,Round1,0.0385,,0.0385,0.146378,0.0168,0.063899,0.0217,0.082386,0.0105,0.039896,0.049,0.186274
3,Round2,0.0415,,0.0415,0.157659,0.0184,0.070088,0.023,0.087466,0.0118,0.044986,0.0533,0.202645
3,Round3,0.0438,,0.0438,0.166586,0.0185,0.070337,0.0253,0.096158,0.0126,0.048065,0.0565,0.214651
