Run,Phase,AK_Wall_s,AK_Energy_J,Auth_Wall_s,Auth_Energy_J,KeyEx_Wall_s,KeyEx_Energy_J,Data_Wall_s,Data_Energy_J,Total_Wall_s,Total_Energy_J
1,Enrollment,,,,,,,,,0.2743,1.042278
1,Round1,0.061,0.231718,0.0502,0.190749,0.0108,0.040904,0.0112,0.042633,0.0722,0.274351
1,Round2,0.0677,0.257219,0.0561,0.21327,0.0115,0.043868,0.0101,0.038434,0.0778,0.295653
1,Round3,0.0625,0.237534,0.0518,0.19689,0.0107,0.040571,0.0112,0.042636,0.0737,0.28017
2,Enrollment,,,,,,,,,0.1373,0.521752
2,Round1,0.0652,0.247732,0.055,0.209065,0.0102,0.038595,0.0097,0.036702,0.0749,0.284434
2,Round2,0.0548,0.208411,0.0446,0.169336,0.0103,0.038999,0.0092,0.03481,0.064,0.243222
2,Round3,0.0526,0.199873,0.0421,0.159893,0.0105,0.039907,0.0198,0.075066,0.0724,0.274939
3,Enrollment,,,,,,,,,0.1343,0.51018
3,Round1,0.0706,0.268238,0.0595,0.226072,0.0111,0.042096,0.0125,0.047472,0.0831,0.31571
3,Round2,0.0639,0.242709,0.0474,0.179952,0.0165,0.0627,0.0127,0.048235,0.0766,0.290944
3,Round3,0.055,0.209053,0.0445,0.168998,0.0105,0.039981,0.0096,0.036499,0.0646,0.245552
