[GW] Listening on 0.0.0.0:5683
[GW] Token accepted  ts_auth=232  device=81
[GW] Session stored  device=81  AS=2  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
[GW] DATA decrypted  device=81  value=9  PID=4ac193f6ea15...
