Metric                                                      , Description / Meaning                                               , Phase 1 - Registration                                                                                                                                                                                               , Phase 2 - Authentication (Round 1)                                                                                                                                                                                               , Phase 3 - Key Exchange (Round 2)                                                                                                                                                                                       , Auth + KeyEx Combined                                                              , Phase 4 - Data Exchange (10 packets)                                                                                                                                        , Per Data Packet                         , Total (All Phases)

==SETUP==                                                   ,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
Device ID                                                   , Node being measured on RPi #1                                       , 81                                                                                                                                                                                                                   , 81                                                                                                                                                                                                                               , 81                                                                                                                                                                                                                     , 81                                                                                 , 81                                                                                                                                                                          , 81                                      , 81
Role                                                        , Role of the measured node                                           , NODE                                                                                                                                                                                                                 , NODE                                                                                                                                                                                                                             , NODE                                                                                                                                                                                                                   , NODE                                                                               , NODE                                                                                                                                                                        , NODE                                    , NODE
Simulation Host                                             , Machine running this role                                           , RPi #1 (pi@192.168.1.113)                                                                                                                                                                                            , RPi #1 (pi@192.168.1.113)                                                                                                                                                                                                        , RPi #1 (pi@192.168.1.113)                                                                                                                                                                                              , RPi #1 (pi@192.168.1.113)                                                          , RPi #1 (pi@192.168.1.113)                                                                                                                                                   , RPi #1 (pi@192.168.1.113)               , RPi #1 (pi@192.168.1.113)
Counterpart                                                 , Remote node communicating with device                               , AS — RPi #2 (apex@192.168.1.132)                                                                                                                                                                                     , AS — RPi #2 (apex@192.168.1.132)                                                                                                                                                                                                 , AS — RPi #2 (apex@192.168.1.132)                                                                                                                                                                                       , AS — RPi #2 (apex@192.168.1.132)                                                   , GW — Laptop (192.168.1.202)                                                                                                                                                 , GW — Laptop (192.168.1.202)             , AS + GW

==PHASE DESCRIPTION==                                       ,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
Phase Summary                                               , "What happens in this phase"                                        , "Device sends ID to AS — AS issues c_D and m_D (session random). Device runs PUF, generates y_D (group secret) and c_AS-D. Sends Y_D^H and R_D back to AS. AS updates T_Acc and stores PID_curr = H(ID_D || m_curr).", "Device computes PID = H(ID_D || m_curr) and sends masked Y_AS-D^H to AS. AS looks up by PID_curr or PID_old (desync recovery). AS verifies T_Acc & Y_D^H == T_Acc (group membership). Stores Phase-3 material in pending table.", "Device sends PID + ts_2 to AS. AS sends m_H (masked new session random). Device unmasks to get m_curr_new. Both derive K_GW-D = H(R_D || m_new). AS forwards GW token to Gateway. Device updates PID_curr and m_curr.", "Combined Rounds 1+2 — the full two-round authentication and key exchange process.", "Device sends (PID_curr, AES(K_GW-D, sensor)) directly to GW. GW looks up session by PID_curr OR PID_old (dual-state). Decrypts and stores sensor value. No AS involvement.", "Metrics per single data packet (÷ 10).", "Enrollment + Auth + KeyEx + Data phases combined."
Crypto Operations                                           , "Primitives executed on device"                                     , "PUF(c_D) → R_D; H(y_D) → Y_D^H; H(ID_D||m_D) → PID_curr; AES_enc(K_AS-D, ID_D); AES_dec(K_AS-D, c_D||m_D); AES_enc(K_AS-D, Y_D^H||R_D||c_AS-D)"                                                                     , "PUF(c_D) → R_D; H(y_D) → Y_D^H; H(ID_D||m_curr) → PID; H(R_D||m_curr||PID||ts_1) → mask; Y_D^H XOR mask → Y_AS-D^H"                                                                                                             , "H(Y_D^H||m_curr||R_D||ID_AS||PID||ts_2) → mh_mask; m_H XOR mh_mask → m_new; H(R_D||m_new) → K_GW-D; H(ID_D||m_new) → PID_curr"                                                                                        , "Rounds 1 and 2 combined"                                                          , "H(ID_D||m_curr) → PID_curr; AES_enc(K_GW-D[0:16], sensor) → ciphertext"                                                                                                    , "Single AES-128 encrypt + SHA-256"      , "—"
Key Anonymity Feature                                       , "How device identity is protected"                                  , "ID_D sent only once over secure channel during enrollment"                                                                                                                                                          , "Device sends PID = H(ID_D || m_curr) — real ID_D never exposed to network"                                                                                                                                                      , "PID rotated: PID_curr = H(ID_D || m_new) — fresh pseudonym each session"                                                                                                                                              , "Dual-state (PID_curr + PID_old) stored at AS for desync recovery"                 , "PID_curr used as pseudonym — GW never learns real ID_D"                                                                                                                    , "Rotating pseudonym per session"        , "Full anonymity through pseudonym rotation"

==TIMING METRICS==                                          ,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
Wall Clock Time (s)                                         , "Total elapsed time including network round-trip latency"           , 0.133361                                                                                                                                                                                                             , 0.003846                                                                                                                                                                                                                         , 0.003227                                                                                                                                                                                                               , 0.007073                                                                           , 30.007759                                                                                                                                                                   , 3.000776                                , 30.148192
CPU Computation Time (s)                                    , "Pure on-device computation time (excludes network wait)"           , 0.002674                                                                                                                                                                                                             , 0.000322                                                                                                                                                                                                                         , 0.000265                                                                                                                                                                                                               , 0.000587                                                                           , 0.006866                                                                                                                                                                    , 0.0006866                               , 0.010127
Network Latency / Wait (s)                                  , "Wall time minus CPU time — time spent waiting for network response", 0.130687                                                                                                                                                                                                             , 0.003524                                                                                                                                                                                                                         , 0.002962                                                                                                                                                                                                               , 0.006486                                                                           , 30.000893                                                                                                                                                                   , 3.0000893                               , 30.138065
Network Wait Fraction (%)                                   , "Percentage of wall time spent waiting on network"                  , 97.98%                                                                                                                                                                                                               , 91.63%                                                                                                                                                                                                                           , 91.80%                                                                                                                                                                                                                 , 91.70%                                                                             , 99.98%                                                                                                                                                                      , 99.98%                                  , 99.97%

==COMMUNICATION METRICS==                                   ,                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                        ,                                                                                    ,                                                                                                                                                                             , 
Tx Bytes (B)                                                , "Bytes transmitted (sent) by the device"                            , 184                                                                                                                                                                                                                  , 162                                                                                                                                                                                                                              , 99                                                                                                                                                                                                                     , 261                                                                                , 1240                                                                                                                                                                        , 124                                     , 1685
Rx Bytes (B)                                                , "Bytes received by the device"                                      , 143                                                                                                                                                                                                                  , 38                                                                                                                                                                                                                               , 93                                                                                                                                                                                                                     , 131                                                                                , 0                                                                                                                                                                           , 0                                       , 274
Total Communication Bytes (B)                               , "Total bytes exchanged (Tx + Rx)"                                   , 327                                                                                                                                                                                                                  , 200                                                                                                                                                                                                                              , 192                                                                                                                                                                                                                    , 392                                                                                , 1240                                                                                                                                                                        , 124                                     , 1959
