[GW-Router] Listening on 0.0.0.0:5683
[GW-Router] Token accepted  user=81  DIDi=947c11a7...  SK=172c28dd...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
[GW-Router] DATA decrypted  user=81  sensor_value=9  DIDi=947c11a7...
