Run,Phase,Auth_Wall_s,Auth_Energy_J,Data_Wall_s,Data_Energy_J,Total_Wall_s,Total_Energy_J
1,Registration,,,,,0.1428,0.542643
1,Round1,0.0397,0.150939,0.0258,0.097961,0.0655,0.2489
1,Round2,0.0431,0.163599,0.0268,0.101911,0.0699,0.26551
1,Round3,0.0447,0.169823,0.0246,0.093357,0.0693,0.26318
2,Registration,,,,,0.1289,0.490003
2,Round1,0.0455,0.172746,0.0275,0.104468,0.073,0.277214
2,Round2,0.0403,0.153318,0.0345,0.131228,0.0749,0.284547
2,Round3,0.0422,0.160234,0.0282,0.107247,0.0704,0.267481
3,Registration,,,,,0.1267,0.481408
3,Round1,0.0518,0.196839,0.0262,0.099747,0.078,0.296587
3,Round2,0.0402,0.152909,0.031,0.117745,0.0712,0.270653
3,Round3,0.0493,0.187364,0.0276,0.104914,0.0769,0.292277
