Run,Phase,AA_Wall_s,AA_Energy_J,Auth_Wall_s,Auth_Energy_J,Ack_Wall_s,Ack_Energy_J,Data_Wall_s,Data_Energy_J,Total_Wall_s,Total_Energy_J
1,Enrollment,,,,,,,,,0.02,0.076189
1,Round1,0.0857,0.325495,0.0385,0.146396,0.0471,0.179027,0.0531,0.201694,0.1387,0.527189
1,Round2,0.0974,0.370044,0.0476,0.181002,0.0497,0.188986,0.0524,0.199232,0.1498,0.569275
1,Round3,0.108,0.410461,0.0554,0.210651,0.0526,0.199734,0.0536,0.20377,0.1616,0.614231
2,Enrollment,,,,,,,,,0.0135,0.051314
2,Round1,0.0992,0.37691,0.0434,0.164911,0.0558,0.211927,0.0517,0.19655,0.1509,0.57346
2,Round2,0.0992,0.377093,0.0502,0.190671,0.049,0.186362,0.0569,0.216377,0.1562,0.59347
2,Round3,0.0875,0.332595,0.0436,0.165861,0.0439,0.166667,0.0547,0.207672,0.1422,0.540267
3,Enrollment,,,,,,,,,0.0176,0.066699
3,Round1,0.0947,0.359886,0.0447,0.169904,0.05,0.189923,0.0495,0.187975,0.1442,0.547861
3,Round2,0.0949,0.360538,0.0464,0.176354,0.0485,0.184116,0.0534,0.202983,0.1483,0.563521
3,Round3,0.0987,0.375104,0.0494,0.187557,0.0493,0.18749,0.0494,0.18776,0.1481,0.562864
