Phase,Metric,Rev-Anon,LAAKA,Zhou-User,Zhou-SN,Zhou-Combined,Zhou-vs-RA (%),Zhou-vs-LK (%)
Enroll,CPU (ms),2.6740,2.5480,5.2320,2.4840,7.7160,+95.7%,+105.3%
Enroll,Energy (mJ),7.3394,6.9261,13.9711,6.7556,20.7267,+90.4%,+101.7%
Enroll,Comm (B),327.0000,278.0000,446.0000,273.0000,719.0000,+36.4%,+60.4%
Auth,CPU (ms),0.3220,0.4660,0.6010,0.6890,1.2900,+86.6%,+29.0%
Auth,Energy (mJ),1.2039,1.9452,2.1296,2.3586,4.4882,+76.9%,+9.5%
Auth,Comm (B),200.0000,390.0000,314.0000,318.0000,632.0000,+57.0%,-19.5%
KeyEx,CPU (ms),0.2650,0.1150,0.4130,0.0000,0.4130,+55.8%,+259.1%
KeyEx,Energy (mJ),1.0474,0.5013,1.6063,0.0000,1.6063,+53.4%,+220.4%
KeyEx,Comm (B),192.0000,107.0000,287.0000,0.0000,287.0000,+49.5%,+168.2%
Data,CPU (ms),6.8660,6.4890,6.7920,0.0000,6.7920,-1.1%,+4.7%
Data,Energy (mJ),19.6446,18.2222,19.4607,0.0000,19.4607,-0.9%,+6.8%
Data,Comm (B),1240.0000,1000.0000,1240.0000,0.0000,1240.0000,+0.0%,+24.0%
TOTAL,CPU (ms),10.1270,9.6180,13.0380,3.1730,16.2110,+28.7%,+35.6%
TOTAL,Energy (mJ),29.2353,27.5948,37.1677,9.1142,46.2819,+27.1%,+34.7%
TOTAL,Comm (B),1959.0000,1775.0000,2287.0000,591.0000,2878.0000,+16.7%,+28.8%
