Device_ID,CPU_Time_s,Energy_J
81,0.819296,0.05053060
82,0.611896,0.03771320
83,0.615680,0.03794740
84,0.659296,0.04064240
85,0.692080,0.04266400
86,0.656080,0.04044380
87,0.657280,0.04051800
88,0.640280,0.03946760
89,0.624480,0.03849080
90,0.629696,0.03881340
91,0.841955,0.05193080
92,0.631080,0.03889880
93,0.616480,0.03799660
94,0.663880,0.04092600
95,0.669080,0.04124620
96,0.623280,0.03841680
97,0.643280,0.03965280
98,0.624080,0.03846620
99,0.586896,0.03616820
100,0.664080,0.04093820
