Device_ID,CPU_Time_s,Energy_J
81,0.203600,0.01254820
82,0.170600,0.01051320
83,0.180400,0.01111880
84,0.161600,0.00995680
85,0.176400,0.01087140
86,0.166400,0.01025060
87,0.158600,0.00977120
88,0.157400,0.00969720
89,0.151800,0.00935100
90,0.156200,0.00962320
91,0.163800,0.01009300
92,0.185600,0.01143980
93,0.170259,0.01049180
94,0.184200,0.01135340
95,0.182094,0.01122260
96,0.174800,0.01077260
97,0.152600,0.00940060
98,0.174314,0.01074220
99,0.171800,0.01058700
100,0.133400,0.00821400
