Device_ID,CPU_Time_s,Energy_J
81,0.879588,0.05425670
82,0.828388,0.05109010
83,0.809796,0.04993890
84,0.855388,0.05275880
85,0.867988,0.05353740
86,0.897696,0.05537570
87,0.822804,0.05074710
88,0.825580,0.05091720
89,0.826888,0.05099930
90,0.850588,0.05246440
91,0.658188,0.04057360
92,0.646680,0.03986290
93,0.633488,0.03904530
94,0.651188,0.04013960
95,0.663667,0.04091270
96,0.632680,0.03899780
97,0.633804,0.03906710
98,0.623588,0.03843350
99,0.624980,0.03852190
100,0.627180,0.03865780
