Device_ID,CPU_Time_s,Energy_J
81,0.188700,0.01162950
82,0.174582,0.01075910
83,0.185430,0.01142950
84,0.175500,0.01081580
85,0.170500,0.01050640
86,0.196206,0.01209360
87,0.169000,0.01041420
88,0.208800,0.01287380
89,0.153200,0.00943770
90,0.193844,0.01194960
91,0.170530,0.01050650
92,0.166006,0.01022900
93,0.157700,0.00971580
94,0.155200,0.00956120
95,0.177557,0.01094200
96,0.160300,0.00987640
97,0.159600,0.00983310
98,0.177700,0.01095190
99,0.175500,0.01081580
100,0.142300,0.00876410
