Device_ID,CPU_Time_s,Energy_J
97,0.666634,0.041122
98,0.638223,0.039363
99,0.621323,0.038321
100,0.643323,0.039681
101,0.624712,0.038531
102,0.647712,0.039951
103,0.584734,0.036058
104,0.631112,0.038927
105,0.635923,0.039222
106,0.628916,0.038791
107,0.810668,0.050023
108,0.779068,0.048071
109,0.493623,0.030428
110,0.460612,0.028389
111,0.498112,0.030706
112,0.499223,0.030776
113,0.452323,0.027876
114,0.488806,0.030132
115,0.477812,0.029453
116,0.632168,0.038990
117,0.611605,0.037722
118,0.661168,0.040784
119,0.646768,0.039892
120,0.673768,0.041563
