"Device_ID","Fog_ID","CPU_Time_s","Energy_J"
"81","2","0.215016","0.013243"
"82","2","0.61008","0.037601"
"83","2","0.63416","0.039089"
"84","2","0.61308","0.037786"
"85","2","0.244016","0.015036"
"86","2","0.71108","0.043843"
"87","2","0.69808","0.043039"
"88","2","0.920336","0.056775"
"89","2","0.941336","0.058073"
"90","2","0.766672","0.047278"
"91","3","0.51016","0.031426"
"92","3","0.69008","0.042545"
"93","3","0.238016","0.014665"
"94","3","0.212016","0.013058"
"95","3","0.304544","0.018776"
"96","3","0.282272","0.0174"
"97","3","0.759336","0.046825"
"98","3","0.352272","0.021726"
"99","3","0.273272","0.016844"
"100","3","0.804336","0.049606"
