Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
112345,81,9.4620,0.153600,41.9410,0.681080,0.0000,0.000000,51.4030,0.834680
112345,82,8.5970,0.139600,39.7640,0.645080,0.0000,0.000000,48.3610,0.784680
112345,83,8.1030,0.131600,38.6520,0.627080,0.0000,0.000000,46.7550,0.758680
112345,84,6.8050,0.110600,36.2410,0.588080,0.0000,0.000000,43.0460,0.698680
112345,85,14.3450,0.232600,36.0560,0.585080,0.0000,0.000000,50.4010,0.817680
112345,86,10.8840,0.176600,37.9100,0.615080,0.0000,0.000000,48.7940,0.791680
112345,87,7.9170,0.128600,33.9550,0.551080,0.0000,0.000000,41.8720,0.679680
112345,88,11.3320,0.183856,47.1340,0.764336,0.0000,0.000000,58.4660,0.948192
112345,89,19.1190,0.309856,60.0500,0.973336,0.0000,0.000000,79.1690,1.283192
112345,90,19.7370,0.319856,47.3810,0.768336,0.0000,0.000000,67.1180,1.088192
112345,91,8.9410,0.145168,40.9130,0.664080,0.0000,0.000000,49.8540,0.809248
112345,92,10.3890,0.168600,42.9780,0.697080,0.0000,0.000000,53.3670,0.865680
112345,93,9.8330,0.159600,40.0110,0.649080,0.0000,0.000000,49.8440,0.808680
112345,94,10.1420,0.164600,49.7140,0.806080,0.0000,0.000000,59.8560,0.970680
112345,95,16.0910,0.260856,50.3480,0.816336,0.0000,0.000000,66.4390,1.077192
112345,96,18.3770,0.297856,48.1230,0.780336,0.0000,0.000000,66.5000,1.078192
112345,97,15.7200,0.254856,52.7580,0.855336,0.0000,0.000000,68.4780,1.110192
112345,98,13.9900,0.226856,48.5550,0.787336,0.0000,0.000000,62.5450,1.014192
112345,99,15.4110,0.249856,51.2340,0.830672,0.0000,0.000000,66.6450,1.080528
112345,100,16.7710,0.271856,59.1850,0.959336,0.0000,0.000000,75.9560,1.231192
123456,81,10.4510,0.169600,37.8480,0.614080,0.0000,0.000000,48.2990,0.783680
123456,82,8.2880,0.134600,38.7130,0.628080,0.0000,0.000000,47.0010,0.762680
123456,83,10.9460,0.177600,37.1110,0.602160,0.0000,0.000000,48.0570,0.779760
123456,84,10.2660,0.166600,43.3480,0.703080,0.0000,0.000000,53.6140,0.869680
