Device,Mean_Total_Energy_mJ,CI_Energy_mJ,Mean_Total_CPU_s,CI_CPU_s,Num_Seeds
81,51.3450,1.5622,0.833080,0.025255,10
82,48.6826,1.8212,0.789880,0.029469,10
83,50.6357,1.7715,0.821488,0.028667,10
84,49.2204,3.0573,0.798580,0.049470,10
85,51.0190,2.0324,0.827686,0.032887,10
86,49.3998,3.6972,0.801486,0.059827,10
87,48.8677,2.5511,0.792880,0.041280,10
88,67.6828,3.4869,1.097398,0.056477,10
89,68.8786,3.4199,1.116722,0.055301,10
90,69.4555,4.2355,1.126026,0.068544,10
91,46.5785,3.3141,0.755946,0.053729,10
92,49.5141,2.8917,0.803337,0.046792,10
93,47.8917,2.1441,0.777086,0.034696,10
94,50.7716,3.0198,0.823686,0.048863,10
95,67.7942,2.5256,1.099139,0.040866,10
96,65.4640,3.6168,1.061426,0.058525,10
97,68.3823,3.0452,1.108692,0.049333,10
98,65.5381,2.7307,1.062626,0.044187,10
99,67.9306,1.8339,1.101372,0.029702,10
100,68.6035,3.2368,1.112226,0.052374,10
