Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
112345,81,20.7980,0.337368,17.0210,0.276112,7.6420,0.124072,45.4610,0.737552
112345,82,22.2200,0.360368,18.4430,0.299112,18.3330,0.297072,58.9960,0.956552
112345,83,20.7980,0.337368,14.9200,0.242112,6.9620,0.113072,42.6800,0.692552
112345,84,22.9610,0.372368,12.8190,0.208112,12.8330,0.208072,48.6130,0.788552
112345,85,19.3770,0.314368,16.5270,0.268112,14.8720,0.241072,50.7760,0.823552
112345,86,14.2470,0.231368,9.2340,0.150112,9.1870,0.149072,32.6680,0.530552
112345,87,19.3770,0.314368,12.2010,0.198112,7.3950,0.120072,38.9730,0.632552
112345,88,23.2860,0.377624,17.4080,0.282368,17.5860,0.285328,58.2800,0.945320
112345,89,24.7070,0.400624,16.8520,0.273368,13.9610,0.226328,55.5200,0.900320
112345,90,29.7130,0.481624,15.9250,0.258368,15.0740,0.244328,60.7120,0.984320
112345,91,18.6970,0.303368,12.4480,0.202112,7.8270,0.127072,38.9720,0.632552
112345,92,18.2920,0.296816,17.3300,0.281112,11.7820,0.191072,47.4040,0.769000
112345,93,19.5000,0.316368,12.6950,0.206112,7.7040,0.125072,39.8990,0.647552
112345,94,17.5850,0.285368,12.1390,0.197112,8.6310,0.140072,38.3550,0.622552
112345,95,26.5610,0.430624,20.0030,0.324368,13.8380,0.224328,60.4020,0.979320
112345,96,27.9210,0.452624,18.5820,0.301368,13.8990,0.225328,60.4020,0.979320
112345,97,26.9940,0.437624,20.7450,0.336368,12.2930,0.199328,60.0320,0.973320
112345,98,25.2640,0.409624,16.0480,0.260368,17.8550,0.289328,59.1670,0.959320
112345,99,27.1180,0.439624,18.5820,0.301368,13.3430,0.216328,59.0430,0.957320
112345,100,29.8990,0.484624,20.3740,0.330368,8.0280,0.130328,58.3010,0.945320
123456,81,16.1630,0.262368,12.5720,0.204112,12.3390,0.200072,41.0740,0.666552
123456,82,19.5620,0.317368,10.2230,0.166112,8.3830,0.136072,38.1680,0.619552
123456,83,21.3540,0.346368,16.6500,0.270112,8.7540,0.142072,46.7580,0.758552
123456,84,30.2430,0.490952,16.2800,0.264112,11.8440,0.192072,58.3670,0.947136
123456,85,28.5230,0.462368,10.2850,0.167112,8.1360,0.132072,46.9440,0.761552
123456,86,18.8820,0.306368,16.2180,0.263112,9.4960,0.154072,44.5960,0.723552
123456,87,25.8040,0.418368,11.5830,0.188112,12.3390,0.200072,49.7260,0.806552
123456,88,25.8200,0.418624,21.6720,0.351368,17.6070,0.285328,65.0990,1.055320
123456,89,22.8530,0.370624,17.8400,0.289368,12.1070,0.196328,52.8000,0.856320
123456,90,27.3420,0.443248,19.3850,0.314368,13.6520,0.221328,60.3790,0.978944
123456,91,15.7310,0.255368,15.6000,0.253112,13.0180,0.211072,44.3490,0.719552
123456,92,21.1690,0.343368,17.2680,0.280112,11.7820,0.191072,50.2190,0.814552
123456,93,21.7250,0.352368,12.6950,0.206112,9.3100,0.151072,43.7300,0.709552
123456,94,19.0680,0.309368,8.9870,0.146112,10.4230,0.169072,38.4780,0.624552
123456,95,28.6630,0.464624,16.9750,0.275368,14.2700,0.231328,59.9080,0.971320
123456,96,24.0890,0.390624,14.6890,0.238368,12.0450,0.195328,50.8230,0.824320
123456,97,25.8200,0.418624,17.9020,0.290368,12.2310,0.198328,55.9530,0.907320
123456,98,29.4040,0.476624,15.7390,0.255368,15.6300,0.253328,60.7730,0.985320
123456,99,21.3080,0.345624,13.9470,0.226368,10.4390,0.169328,45.6940,0.741320
123456,100,29.2810,0.474624,24.3910,0.395368,13.8990,0.225328,67.5710,1.095320
234567,81,21.6020,0.350368,14.6730,0.238112,8.8160,0.143072,45.0910,0.731552
234567,82,24.5060,0.397368,14.6730,0.238112,14.9960,0.243072,54.1750,0.878552
234567,83,20.2420,0.328368,16.4030,0.266112,10.7940,0.175072,47.4390,0.769552
234567,84,18.1410,0.294368,13.5600,0.220112,12.8330,0.208072,44.5340,0.722552
234567,85,24.1350,0.391368,17.3920,0.282112,11.6590,0.189072,53.1860,0.862552
234567,86,20.7360,0.336368,13.7460,0.223112,9.4960,0.154072,43.9780,0.713552
234567,87,18.1960,0.295368,11.6450,0.189112,9.4340,0.153072,39.2750,0.637552
234567,88,34.2250,0.554624,15.1830,0.246368,12.9720,0.210328,62.3800,1.011320
234567,89,27.3650,0.443624,21.8570,0.354368,17.2760,0.279960,66.4980,1.077952
234567,90,30.3310,0.491624,24.1440,0.391368,12.6630,0.205328,67.1380,1.088320
234567,91,18.4500,0.299368,10.7180,0.174112,9.0630,0.147072,38.2310,0.620552
234567,92,17.2140,0.279368,12.1390,0.197112,7.1470,0.116072,36.5000,0.592552
234567,93,21.1690,0.343368,16.4650,0.267112,10.1760,0.165072,47.8100,0.775552
234567,94,19.9330,0.323368,17.7630,0.288112,14.9340,0.242072,52.6300,0.853552
234567,95,25.0780,0.406624,15.1830,0.246368,13.0340,0.211328,53.2950,0.864320
234567,96,31.2580,0.506624,24.0820,0.390368,14.9500,0.242328,70.2900,1.139320
234567,97,27.9640,0.453624,15.9860,0.259368,12.8490,0.208328,56.7990,0.921320
234567,98,25.6340,0.415624,19.8180,0.321368,13.0520,0.211624,58.5040,0.948616
234567,99,31.0110,0.502624,21.2180,0.344368,11.9220,0.193328,64.1510,1.040320
234567,100,25.9430,0.420624,26.0600,0.422368,9.8210,0.159328,61.8240,1.002320
345678,81,21.7250,0.352368,13.9380,0.226224,7.3950,0.120072,43.0580,0.698664
345678,82,18.6970,0.303368,15.1050,0.245112,14.5020,0.235072,48.3040,0.783552
345678,83,20.2420,0.328368,18.8710,0.306112,11.1030,0.180072,50.2160,0.814552
345678,84,19.7480,0.320368,16.4030,0.266112,9.8670,0.160072,46.0180,0.746552
345678,85,22.5900,0.366368,15.5380,0.252112,10.2370,0.166072,48.3650,0.784552
345678,86,20.9840,0.340368,16.7740,0.272112,11.2260,0.182072,48.9840,0.794552
345678,87,19.3580,0.314368,11.6450,0.189112,16.8500,0.273072,47.8530,0.776552
345678,88,27.4270,0.444624,19.7170,0.319736,13.5900,0.220328,60.7340,0.984688
345678,89,27.9210,0.452624,19.2000,0.311368,9.2030,0.149328,56.3240,0.913320
345678,90,23.6570,0.383624,18.8290,0.305368,12.6020,0.204328,55.0880,0.893320
345678,91,17.3990,0.282368,19.9260,0.323112,10.1140,0.164072,47.4390,0.769552
345678,92,23.3320,0.378368,13.3750,0.217112,11.8400,0.192008,48.5470,0.787488
345678,93,16.1010,0.261368,12.6330,0.205112,6.9000,0.112072,35.6340,0.578552
345678,94,17.0280,0.276368,13.4990,0.219112,13.3270,0.216072,43.8540,0.711552
345678,95,27.2410,0.441624,14.3180,0.232368,12.1070,0.196328,53.6660,0.870320
345678,96,25.9430,0.420624,22.9700,0.372368,13.7960,0.223656,62.7090,1.016648
345678,97,25.8200,0.418624,25.5040,0.413368,14.7650,0.239328,66.0890,1.071320
345678,98,40.6520,0.658624,22.7230,0.368368,13.2810,0.215328,76.6560,1.242320
345678,99,30.5120,0.494624,20.4360,0.331368,9.6350,0.156328,60.5830,0.982320
345678,100,24.0040,0.389248,17.4080,0.282368,14.7650,0.239328,56.1770,0.910944
456789,81,20.1800,0.327368,12.8810,0.209112,18.7660,0.304072,51.8270,0.840552
456789,82,21.0450,0.341368,16.5890,0.269112,13.0800,0.212072,50.7140,0.822552
456789,83,15.0740,0.244736,16.4030,0.266112,9.8050,0.159072,41.2820,0.669920
456789,84,22.4050,0.363368,13.5600,0.220112,10.4010,0.169072,46.3660,0.752552
456789,85,22.8990,0.371368,14.6110,0.237112,14.1310,0.229072,51.6410,0.837552
456789,86,19.9760,0.324368,17.8250,0.289112,7.1470,0.116072,44.9480,0.729552
456789,87,15.6690,0.254368,16.9590,0.275112,8.2370,0.133704,40.8650,0.663184
456789,88,25.0160,0.405624,19.0760,0.309368,15.3830,0.249328,59.4750,0.964320
456789,89,34.1010,0.552624,24.5770,0.398368,11.9220,0.193328,70.6000,1.144320
456789,90,25.3250,0.410624,16.6270,0.269736,13.4670,0.218328,55.4190,0.898688
456789,91,20.5510,0.333368,16.7740,0.272112,11.9060,0.193072,49.2310,0.798552
456789,92,23.2080,0.376368,13.1280,0.213112,11.4730,0.186072,47.8090,0.775552
456789,93,20.1800,0.327368,12.1390,0.197112,8.6310,0.140072,40.9500,0.664552
456789,94,16.1630,0.262368,9.7910,0.159112,7.0860,0.115072,33.0400,0.536552
456789,95,23.9040,0.387624,21.4250,0.347368,14.2700,0.231328,59.5990,0.966320
456789,96,25.6960,0.416624,19.4470,0.315368,13.8380,0.224328,58.9810,0.956320
456789,97,26.1290,0.423624,16.8520,0.273368,13.6520,0.221328,56.6330,0.918320
456789,98,21.4710,0.348248,20.0030,0.324368,12.5400,0.203328,54.0140,0.875944
456789,99,26.3760,0.427624,20.5600,0.333368,15.0740,0.244328,62.0100,1.005320
456789,100,26.9940,0.437624,16.0090,0.259736,14.9500,0.242328,57.9530,0.939688
567890,81,20.9600,0.340368,13.1280,0.213112,5.3600,0.087144,39.4480,0.640624
567890,82,21.7250,0.352368,14.0550,0.228112,10.7940,0.175072,46.5740,0.755552
567890,83,20.2650,0.328736,12.2630,0.199112,11.2080,0.181776,43.7360,0.709624
567890,84,20.9840,0.340368,14.9270,0.242224,8.8780,0.144072,44.7890,0.726664
567890,85,18.8210,0.305368,13.0660,0.212112,14.3160,0.232072,46.2030,0.749552
567890,86,20.4890,0.332368,12.3860,0.201112,13.0180,0.211072,45.8930,0.744552
567890,87,22.0960,0.358368,18.1950,0.295112,10.8550,0.176072,51.1460,0.829552
567890,88,30.9490,0.501624,21.9810,0.356368,11.9840,0.194328,64.9140,1.052320
567890,89,27.0560,0.438624,21.5480,0.349368,14.5790,0.236328,63.1830,1.024320
567890,90,27.4270,0.444624,18.0880,0.293368,11.9220,0.193328,57.4370,0.931320
567890,91,21.1690,0.343368,14.1780,0.230112,8.4450,0.137072,43.7920,0.710552
567890,92,21.9110,0.355368,17.0210,0.276112,12.6480,0.205072,51.5800,0.836552
567890,93,18.5730,0.301368,13.2380,0.215112,8.8160,0.143072,40.6270,0.659552
567890,94,20.3040,0.329368,17.3920,0.282112,13.2660,0.215072,50.9620,0.826552
567890,95,23.5950,0.382624,15.0590,0.244368,19.7700,0.320328,58.4240,0.947320
567890,96,27.5500,0.446624,18.8290,0.305368,12.4160,0.201328,58.7950,0.953320
567890,97,30.5170,0.494624,19.0760,0.309368,14.0850,0.228328,63.6780,1.032320
567890,98,21.6790,0.351624,21.9810,0.356368,15.3210,0.248328,58.9810,0.956320
567890,99,23.2240,0.376624,12.9580,0.210368,10.9950,0.178328,47.1770,0.765320
567890,100,25.5110,0.413624,21.1780,0.343368,17.5460,0.284328,64.2350,1.041320
678901,81,23.2700,0.377368,16.4030,0.266112,14.4400,0.234072,54.1130,0.877552
678901,82,24.8540,0.403368,12.6400,0.205224,12.3120,0.199640,49.8060,0.808232
678901,83,15.9160,0.258368,13.6220,0.221112,14.2540,0.231072,43.7920,0.710552
678901,84,17.5850,0.285368,12.3860,0.201112,15.5520,0.252072,45.5230,0.738552
678901,85,16.9050,0.274368,14.3020,0.232112,9.6810,0.157072,40.8880,0.663552
678901,86,22.0960,0.358368,17.2680,0.280112,12.0300,0.195072,51.3940,0.833552
678901,87,19.3770,0.314368,13.9310,0.226112,12.2150,0.198072,45.5230,0.738552
678901,88,25.3250,0.410624,18.7060,0.303368,24.8380,0.402328,68.8690,1.116320
678901,89,30.7640,0.498624,25.2560,0.409368,17.6070,0.285328,73.6270,1.193320
678901,90,27.6740,0.448624,21.8940,0.355368,13.6520,0.221328,63.2200,1.025320
678901,91,22.8380,0.370368,16.9590,0.275112,8.1360,0.132072,47.9330,0.777552
678901,92,20.7360,0.336368,11.4660,0.186224,10.8550,0.176072,43.0570,0.698664
678901,93,25.7420,0.417368,13.9310,0.226112,9.2490,0.150072,48.9220,0.793552
678901,94,22.2810,0.361368,9.4200,0.153112,9.9280,0.161072,41.6290,0.675552
678901,95,25.3250,0.410624,22.3520,0.362368,13.5290,0.219328,61.2060,0.992320
678901,96,28.8480,0.467624,19.6330,0.318368,13.6520,0.221328,62.1330,1.007320
678901,97,20.5050,0.332624,18.3350,0.297368,14.3940,0.233328,53.2340,0.863320
678901,98,25.0160,0.405624,18.3970,0.298368,12.6020,0.204328,56.0150,0.908320
678901,99,24.1510,0.391624,20.4360,0.331368,15.0120,0.243328,59.5990,0.966320
678901,100,30.8870,0.500624,18.2730,0.296368,15.3210,0.248328,64.4810,1.045320
789012,81,21.5400,0.349368,13.7460,0.223112,9.0010,0.146072,44.2870,0.718552
789012,82,19.0060,0.308368,12.8190,0.208112,11.7210,0.190072,43.5460,0.706552
789012,83,17.4610,0.283368,17.3920,0.282112,13.6360,0.221072,48.4890,0.786552
789012,84,19.6860,0.319368,13.9310,0.226112,10.6080,0.172072,44.2250,0.717552
789012,85,18.7590,0.304368,18.8750,0.306112,7.6600,0.124368,45.2940,0.734848
789012,86,21.5400,0.349368,10.9650,0.178112,15.8610,0.257072,48.3660,0.784552
789012,87,26.1130,0.423368,16.8980,0.274112,13.8840,0.225072,56.8950,0.922552
789012,88,26.6850,0.432624,19.8800,0.322368,13.3430,0.216328,59.9080,0.971320
789012,89,32.4940,0.526624,14.1940,0.230368,12.2930,0.199328,58.9810,0.956320
789012,90,26.8700,0.435624,21.7960,0.353368,13.3430,0.216328,62.0090,1.005320
789012,91,24.5920,0.399368,10.4700,0.170112,10.4580,0.169640,45.5200,0.739120
789012,92,18.3260,0.297368,12.7570,0.207112,12.0300,0.195072,43.1130,0.699552
789012,93,20.1180,0.326368,12.8810,0.209112,11.9060,0.193072,44.9050,0.728552
789012,94,19.6470,0.318736,15.6620,0.254112,8.9400,0.145072,44.2490,0.717920
789012,95,23.4100,0.379624,21.2390,0.344368,19.4610,0.315328,64.1100,1.039320
789012,96,20.9380,0.339624,18.4580,0.299368,12.8690,0.208656,52.2650,0.847648
789012,97,31.6910,0.513624,21.3010,0.345368,18.5340,0.300328,71.5260,1.159320
789012,98,25.8200,0.418624,19.0760,0.309368,12.3540,0.200328,57.2500,0.928320
789012,99,24.4600,0.396624,19.1380,0.310368,9.1410,0.148328,52.7390,0.855320
789012,100,27.5500,0.446624,26.1220,0.423368,10.6240,0.172328,64.2960,1.042320
890123,81,18.7970,0.305368,11.8990,0.193224,8.3830,0.136072,39.0790,0.634664
890123,82,18.3880,0.298368,12.1390,0.197112,12.4620,0.202072,42.9890,0.697552
890123,83,13.5060,0.219368,18.9990,0.308112,7.2710,0.118072,39.7760,0.645552
890123,84,20.8830,0.338736,12.9420,0.210112,10.3610,0.168072,44.1860,0.716920
890123,85,24.8770,0.403368,15.4140,0.250112,8.5070,0.138072,48.7980,0.791552
890123,86,19.1300,0.310368,11.1500,0.181112,9.1870,0.149072,39.4670,0.640552
890123,87,20.7980,0.337368,15.4830,0.251224,22.5360,0.365072,58.8170,0.953664
890123,88,22.9150,0.371624,17.9640,0.291368,15.1970,0.246328,56.0760,0.909320
890123,89,26.3760,0.427624,22.1050,0.358368,12.7250,0.206328,61.2060,0.992320
890123,90,30.5700,0.495624,22.9080,0.371368,10.9330,0.177328,64.4110,1.044320
890123,91,22.3860,0.363368,14.5490,0.236112,11.2880,0.183072,48.2230,0.782552
890123,92,12.8260,0.208368,16.6500,0.270112,19.9400,0.323072,49.4160,0.801552
890123,93,15.8540,0.257368,18.2570,0.296112,10.4270,0.169144,44.5380,0.722624
890123,94,14.6800,0.238368,10.4700,0.170112,10.6080,0.172072,35.7580,0.580552
890123,95,34.4100,0.557624,17.5310,0.284368,15.3210,0.248328,67.2620,1.090320
890123,96,25.0780,0.406624,24.7490,0.401368,12.8490,0.208328,62.6760,1.016320
890123,97,22.3590,0.362624,21.1160,0.342368,18.2250,0.295328,61.7000,1.000320
890123,98,20.2580,0.328624,17.3460,0.281368,13.4050,0.217328,51.0090,0.827320
890123,99,26.0050,0.421624,16.1720,0.262368,16.6800,0.270328,58.8570,0.954320
890123,100,26.6230,0.431624,22.5990,0.366368,14.6410,0.237328,63.8630,1.035320
901234,81,18.5120,0.300368,9.6050,0.156112,8.2600,0.134072,36.3770,0.590552
901234,82,19.6240,0.318368,13.3130,0.216112,9.6240,0.156144,42.5610,0.690624
901234,83,22.0340,0.357368,12.1390,0.197112,13.0800,0.212072,47.2530,0.766552
901234,84,21.8490,0.354368,10.3540,0.168224,14.3780,0.233072,46.5810,0.755664
901234,85,23.0230,0.373368,15.1050,0.245112,11.5970,0.188072,49.7250,0.806552
901234,86,19.3770,0.314368,12.0770,0.196112,9.2490,0.150072,40.7030,0.660552
901234,87,22.0960,0.358368,15.8470,0.257112,11.8440,0.192072,49.7870,0.807552
901234,88,21.1850,0.343624,17.0600,0.276736,17.4220,0.282328,55.6670,0.902688
901234,89,27.5500,0.446624,20.8070,0.337368,14.7030,0.238328,63.0600,1.022320
901234,90,24.6460,0.399624,23.7110,0.384368,12.9720,0.210328,61.3290,0.994320
901234,91,20.5510,0.333368,15.4760,0.251112,11.7820,0.191072,47.8090,0.775552
901234,92,19.5230,0.316736,14.9820,0.243112,11.9680,0.194072,46.4730,0.753920
901234,93,22.2810,0.361368,17.3920,0.282112,9.9280,0.161072,49.6010,0.804552
901234,94,21.8890,0.355368,16.0320,0.260112,15.6140,0.253072,53.5350,0.868552
901234,95,28.4150,0.460624,15.3680,0.249368,14.3940,0.233328,58.1770,0.943320
901234,96,25.3250,0.410624,20.8690,0.338368,13.0340,0.211328,59.2280,0.960320
901234,97,24.5220,0.397624,20.1890,0.327368,9.2640,0.150328,53.9750,0.875320
901234,98,24.9930,0.405248,17.5930,0.285368,14.7650,0.239328,57.3510,0.929944
901234,99,26.4190,0.428624,25.4420,0.412368,13.7140,0.222328,65.5750,1.063320
901234,100,23.4710,0.380624,21.9810,0.356368,12.2930,0.199328,57.7450,0.936320
