Device,Mean_Total_Energy_mJ,CI_Energy_mJ,Mean_Total_CPU_s,CI_CPU_s,Num_Seeds
81,43.9815,3.4536,0.713682,0.055840,10
82,47.5833,3.8166,0.771927,0.061764,10
83,45.1421,2.0952,0.732396,0.033912,10
84,46.9202,2.6301,0.761270,0.042695,10
85,48.1820,2.2013,0.781582,0.035620,10
86,44.0997,3.3514,0.715552,0.054233,10
87,47.8860,4.2680,0.776826,0.069052,10
88,61.1402,2.6086,0.991294,0.042195,10
89,62.1799,4.1329,1.008083,0.066875,10
90,60.7142,2.3899,0.984419,0.038701,10
91,45.1499,2.3989,0.732609,0.038839,10
92,46.4118,2.7573,0.752938,0.044616,10
93,43.6616,2.7536,0.708459,0.044545,10
94,43.2490,4.4520,0.701789,0.072073,10
95,59.6049,2.6193,0.966420,0.042384,10
96,59.8302,3.4070,0.970086,0.055137,10
97,59.9619,3.6162,0.972220,0.058504,10
98,58.9720,4.2268,0.956174,0.068394,10
99,57.5428,4.2165,0.933120,0.068276,10
100,61.6446,2.3716,0.999419,0.038375,10
