Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
112345,81,17.1020,0.277584,56.2149,0.910884,0.0000,0.000000,73.3169,1.188468
112345,82,19.5130,0.316584,55.7715,0.903609,0.0000,0.000000,75.2845,1.220193
112345,83,19.2040,0.311584,45.5005,0.737502,0.0000,0.000000,64.7045,1.049086
112345,84,17.8440,0.289584,45.0733,0.730416,0.0000,0.000000,62.9173,1.020000
112345,85,13.2710,0.215584,50.7227,0.822072,0.0000,0.000000,63.9937,1.037656
112345,86,18.8950,0.306584,47.6830,0.772740,0.0000,0.000000,66.5780,1.079324
112345,87,20.1310,0.326584,56.8425,0.920945,0.0000,0.000000,76.9735,1.247529
112345,88,26.2650,0.425840,51.0772,0.827484,0.0000,0.000000,77.3422,1.253324
112345,89,19.0960,0.309840,51.7229,0.837940,0.0000,0.000000,70.8189,1.147780
112345,90,26.4500,0.428840,60.2199,0.975552,0.0000,0.000000,86.6699,1.404392
112345,91,14.1360,0.229584,58.0789,0.941044,0.0000,0.000000,72.2149,1.170628
112345,92,19.7600,0.320584,55.8241,0.904524,0.0000,0.000000,75.5841,1.225108
112345,93,24.3950,0.395584,57.3509,0.929036,0.0000,0.000000,81.7459,1.324620
112345,94,18.4620,0.299584,54.5474,0.883947,0.0000,0.000000,73.0094,1.183531
112345,95,24.5960,0.398840,57.4756,0.931034,0.0000,0.000000,82.0716,1.329874
112345,96,27.9330,0.452840,56.8396,0.920774,0.0000,0.000000,84.7726,1.373614
112345,97,24.7580,0.401840,57.6546,0.933995,0.0000,0.000000,82.4126,1.335835
112345,98,20.8260,0.337840,55.7374,0.902969,0.0000,0.000000,76.5634,1.240809
112345,99,24.0300,0.389680,57.4143,0.930094,0.0000,0.000000,81.4443,1.319774
112345,100,22.7420,0.368840,60.1022,0.973593,0.0000,0.000000,82.8442,1.342433
123456,81,21.4710,0.348584,57.2922,0.928324,0.0000,0.000000,78.7632,1.276908
123456,82,27.2990,0.442584,50.8877,0.825511,0.0000,0.000000,78.1867,1.268095
123456,83,21.8610,0.354584,50.6741,0.821169,0.0000,0.000000,72.5351,1.175753
123456,84,19.3890,0.314584,52.2831,0.847045,0.0000,0.000000,71.6721,1.161629
123456,85,14.2600,0.231584,62.9146,1.019228,0.0000,0.000000,77.1746,1.250812
123456,86,17.7820,0.288584,50.7648,0.822487,0.0000,0.000000,68.5468,1.111071
123456,87,17.4730,0.283584,50.2077,0.813736,0.0000,0.000000,67.6807,1.097320
123456,88,26.8210,0.434840,46.4513,0.752662,0.0000,0.000000,73.2723,1.187502
123456,89,21.2590,0.344840,47.2065,0.764904,0.0000,0.000000,68.4655,1.109744
123456,90,17.9830,0.291840,46.7587,0.757645,0.0000,0.000000,64.7417,1.049485
123456,91,20.7490,0.336584,55.7607,0.903539,0.0000,0.000000,76.5097,1.240123
123456,92,20.2900,0.329168,58.0431,0.940427,0.0000,0.000000,78.3331,1.269595
123456,93,20.1310,0.326584,56.9228,0.922338,0.0000,0.000000,77.0538,1.248922
123456,94,17.7200,0.287584,65.8226,1.066331,0.0000,0.000000,83.5426,1.353915
123456,95,27.2530,0.441840,53.9723,0.874348,0.0000,0.000000,81.2253,1.316188
