Device,Mean_Total_Energy_mJ,CI_Energy_mJ,Mean_Total_CPU_s,CI_CPU_s,Num_Seeds
81,70.7918,4.1445,1.147602,0.067108,10
82,71.3093,2.6126,1.156010,0.042349,10
83,69.9535,2.3553,1.133990,0.038105,10
84,70.7253,3.0404,1.146393,0.049226,10
85,72.9480,3.6242,1.182377,0.058627,10
86,72.8272,3.8754,1.180406,0.062723,10
87,72.2410,2.8325,1.170965,0.045820,10
88,76.8012,2.9880,1.244599,0.048351,10
89,77.6183,3.1568,1.257900,0.051111,10
90,80.5948,5.6359,1.306042,0.091200,10
91,75.2993,3.0331,1.220590,0.049037,10
92,76.8709,3.6087,1.245911,0.058410,10
93,75.4218,2.8831,1.222404,0.046643,10
94,76.6057,3.7531,1.241642,0.060743,10
95,81.9952,1.4950,1.328652,0.024192,10
96,87.0805,2.8067,1.410972,0.045429,10
97,82.5127,3.4733,1.337123,0.056229,10
98,85.5733,4.5188,1.386620,0.073119,10
99,83.1125,3.9725,1.346810,0.064290,10
100,84.6594,3.2771,1.371797,0.053022,10
