Scheme,ActiveAS,Seeds,Total_Energy_mJ,CI95_Energy_mJ,Total_CPU_s,CI95_CPU_s
DAuth,2,5,936.3440,19.8378,15.1836,0.3213
DAuth,5,5,877.0460,17.7630,14.2240,0.2873
DAuth,10,5,841.0200,20.6504,13.6413,0.3342
LAAKA,2,5,1131.4520,21.8257,18.3514,0.3533
LAAKA,5,5,1053.4480,12.6354,17.0890,0.2045
LAAKA,10,5,1019.8900,16.9448,16.5460,0.2742
Proposed,2,5,1064.6020,24.3016,17.2659,0.3935
Proposed,5,5,967.7660,14.6605,15.6989,0.2371
Proposed,10,5,936.1260,16.4667,15.1871,0.2665
Zhou,2,10,1544.9419,40.2152,25.0388,0.6506
Zhou,5,10,1544.9419,40.2152,25.0388,0.6506
Zhou,10,10,1544.9419,40.2152,25.0388,0.6506
