Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Total_Energy_mJ,Total_CPU_s
123456,81,16.1630,0.262368,8.3850,0.136104,24.5480,0.398472
123456,82,19.5620,0.317368,6.2220,0.101104,25.7840,0.418472
123456,83,21.3540,0.346368,9.5600,0.155104,30.9140,0.501472
123456,84,30.2430,0.490952,9.1270,0.148104,39.3700,0.639056
123456,85,28.5230,0.462368,9.8690,0.160104,38.3920,0.622472
123456,86,18.8820,0.306368,7.5820,0.123104,26.4640,0.429472
123456,87,25.8040,0.418368,11.1050,0.180104,36.9090,0.598472
123456,88,25.8200,0.418624,17.3000,0.280360,43.1200,0.698984
123456,89,22.8530,0.370624,16.2500,0.263360,39.1030,0.633984
123456,90,27.3420,0.443248,16.3120,0.264360,43.6540,0.707608
123456,91,15.7310,0.255368,18.0260,0.292104,33.7570,0.547472
123456,92,21.1690,0.343368,11.5370,0.187104,32.7060,0.530472
123456,93,21.7250,0.352368,13.5150,0.219104,35.2400,0.571472
123456,94,19.0680,0.309368,3.8740,0.063104,22.9420,0.372472
123456,95,28.6630,0.464624,12.1090,0.196360,40.7720,0.660984
123456,96,24.0890,0.390624,10.4230,0.169080,34.5120,0.559704
123456,97,25.8200,0.418624,12.9740,0.210360,38.7940,0.628984
123456,98,29.4040,0.476624,20.0810,0.325360,49.4850,0.801984
123456,99,21.3080,0.345624,12.6040,0.204360,33.9120,0.549984
123456,100,29.2810,0.474624,18.5360,0.300360,47.8170,0.774984
