Device_ID,Energy_J,CPU_Time_s
81,0.01198240,0.194312
82,0.01000880,0.162374
83,0.00897900,0.145712
84,0.00879380,0.142712
85,0.00918920,0.149112
86,0.00894340,0.145134
87,0.01106780,0.179512
88,0.01156240,0.187512
89,0.00978220,0.158712
90,0.01002960,0.162712
91,0.01324460,0.214734
92,0.00768120,0.124712
93,0.00986900,0.160112
94,0.00834860,0.135512
95,0.01080400,0.175312
96,0.00952420,0.154534
97,0.01058600,0.171712
98,0.01064920,0.172734
99,0.01129040,0.183112
100,0.00998160,0.161934
