Device_ID,Energy_J,CPU_Time_s
81,0.02767940,0.448715
82,0.01933200,0.313642
83,0.02102060,0.340968
84,0.02443560,0.396227
85,0.02354440,0.381968
86,0.02056340,0.333568
87,0.02029140,0.329168
88,0.01967340,0.319168
89,0.01888020,0.306331
90,0.01820260,0.295368
91,0.02656100,0.430768
92,0.01770820,0.287368
93,0.02016320,0.327168
94,0.02132980,0.345968
95,0.02123940,0.344568
96,0.01950040,0.316368
97,0.01726320,0.280168
98,0.01969480,0.319515
99,0.02010200,0.326168
100,0.01956220,0.317368
