Device_ID,Energy_J,CPU_Time_s
81,0.01385060,0.224472
82,0.01128000,0.182872
83,0.01355400,0.219672
84,0.00923600,0.149800
85,0.01030320,0.167072
86,0.01231800,0.199672
87,0.00866100,0.140486
88,0.01145300,0.185672
89,0.00984620,0.159672
90,0.01131800,0.183486
91,0.01456860,0.236086
92,0.01103260,0.178872
93,0.00942580,0.152872
94,0.01105820,0.179286
95,0.01246660,0.202072
96,0.00972240,0.157672
97,0.00931540,0.151086
98,0.01264680,0.204990
99,0.00990780,0.160672
100,0.00998960,0.161995
