Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
123456,81,25.4950,0.413368,11.6610,0.189112,13.0230,0.211072,50.1790,0.813552
123456,82,14.4560,0.234736,12.4030,0.201112,14.3820,0.233072,41.2410,0.668920
123456,83,19.5620,0.317368,11.2900,0.183112,9.5620,0.155072,40.4140,0.655552
123456,84,30.5630,0.495368,9.6840,0.157112,9.6240,0.156072,49.8710,0.808552
123456,85,25.0780,0.407368,5.8520,0.095112,8.3880,0.136072,39.3180,0.638552
123456,86,23.0230,0.373368,13.0830,0.212112,11.8480,0.192072,47.9540,0.777552
123456,87,21.4780,0.348368,9.3750,0.152112,9.1910,0.149072,40.0440,0.649552
123456,88,19.1910,0.311368,10.7960,0.175112,9.5620,0.155072,39.5490,0.641552
123456,89,17.7080,0.287368,10.9200,0.177112,9.0060,0.146072,37.6340,0.610552
123456,90,20.4270,0.331368,9.8690,0.160112,15.8080,0.256144,46.1040,0.747624
123456,91,21.4780,0.348368,11.6610,0.189112,14.4480,0.234144,47.5870,0.771624
123456,92,21.6020,0.350368,6.4080,0.104112,13.3320,0.216072,41.3420,0.670552
123456,93,19.9330,0.323368,8.2190,0.133408,11.0450,0.179072,39.1970,0.635848
123456,94,19.0060,0.308368,11.1670,0.181112,14.6290,0.237072,44.8020,0.726552
123456,95,15.9780,0.259368,10.2400,0.166112,14.3200,0.232072,40.5380,0.657552
123456,96,26.7310,0.433368,10.5490,0.171112,26.1860,0.424072,63.4660,1.028552
123456,97,16.4100,0.266368,10.2400,0.166112,12.2190,0.198072,38.8690,0.630552
123456,98,16.5570,0.268736,7.8910,0.128112,7.2750,0.118072,31.7230,0.514920
123456,99,25.1240,0.407368,14.5040,0.235112,10.5510,0.171072,50.1790,0.813552
123456,100,14.6180,0.237368,11.2290,0.182112,8.6350,0.140072,34.4820,0.559552
234567,81,26.1750,0.424368,13.1440,0.213112,12.5900,0.204072,51.9090,0.841552
234567,82,20.2420,0.328368,10.2400,0.166112,9.7470,0.158072,40.2290,0.652552
234567,83,20.6130,0.334368,8.2000,0.133112,12.2190,0.198072,41.0320,0.665552
234567,84,20.1180,0.326368,6.2850,0.102112,9.3150,0.151072,35.7180,0.579552
234567,85,26.4180,0.428368,13.2680,0.215112,11.2920,0.183072,50.9780,0.826552
234567,86,23.3940,0.379368,15.7400,0.255112,15.6800,0.254072,54.8140,0.888552
234567,87,24.6250,0.399368,6.4700,0.105112,9.4380,0.153072,40.5330,0.657552
234567,88,14.8040,0.240368,12.5880,0.204112,5.4830,0.089072,32.8750,0.533552
234567,89,20.8600,0.338368,11.5380,0.187112,12.0340,0.195072,44.4320,0.720552
234567,90,19.5620,0.317368,10.5490,0.171112,11.2920,0.183072,41.4030,0.671552
234567,91,26.0510,0.422368,11.5990,0.188112,13.7020,0.222072,51.3520,0.832552
234567,92,20.6130,0.334368,7.5820,0.123112,6.9040,0.112072,35.0990,0.569552
234567,93,16.5340,0.268368,7.7680,0.126112,13.6410,0.221072,37.9430,0.615552
234567,94,24.8770,0.403368,8.4480,0.137112,12.8990,0.209072,46.2240,0.749552
234567,95,23.8880,0.387368,12.3200,0.200112,17.2250,0.279072,53.4330,0.866552
234567,96,30.8100,0.499368,14.4420,0.234112,15.2470,0.247072,60.4990,0.980552
234567,97,20.1800,0.327368,9.3130,0.151112,9.6240,0.156072,39.1170,0.634552
234567,98,16.1010,0.261368,9.5050,0.154224,9.9940,0.162072,35.6000,0.577664
234567,99,18.8820,0.306368,8.8180,0.143112,11.6630,0.189072,39.3630,0.638552
234567,100,22.9610,0.372368,8.3930,0.136224,8.3920,0.136144,39.7460,0.644736
345678,81,29.1640,0.472736,12.6500,0.205112,15.3710,0.249072,57.1850,0.926920
345678,82,22.9610,0.372368,9.8690,0.160112,16.2980,0.264072,49.1280,0.796552
345678,83,26.1130,0.423368,8.8800,0.144112,12.8990,0.209072,47.8920,0.776552
345678,84,27.5960,0.447368,7.0260,0.114112,11.6630,0.189072,46.2850,0.750552
345678,85,24.8150,0.402368,10.3020,0.167112,7.9550,0.129072,43.0720,0.698552
345678,86,25.1860,0.408368,9.8070,0.159112,15.4330,0.250072,50.4260,0.817552
345678,87,19.8710,0.322368,9.1270,0.148112,11.1110,0.180072,40.1090,0.650552
345678,88,20.9220,0.339368,15.2460,0.247112,14.5680,0.236072,50.7360,0.822552
345678,89,18.1070,0.293816,7.7060,0.125112,10.8600,0.176072,36.6730,0.595000
345678,90,19.3720,0.314368,7.9530,0.129112,11.4780,0.186072,38.8030,0.629552
345678,91,27.1020,0.439368,14.3870,0.233224,16.5450,0.268072,58.0340,0.940664
345678,92,15.5450,0.252368,7.3970,0.120112,10.5510,0.171072,33.4930,0.543552
345678,93,20.4270,0.331368,10.7340,0.174112,13.2700,0.215072,44.4310,0.720552
345678,94,21.3540,0.346368,8.4480,0.137112,11.1110,0.180144,40.9130,0.663624
345678,95,17.2760,0.280368,7.4590,0.121112,11.2300,0.182072,35.9650,0.583552
345678,96,29.0790,0.471368,13.2680,0.215112,14.9380,0.242072,57.2850,0.928552
345678,97,18.0790,0.293368,6.7170,0.109112,13.2700,0.215072,38.0660,0.617552
345678,98,18.9440,0.307368,11.7230,0.190112,18.9550,0.307072,49.6220,0.804552
345678,99,20.9220,0.339368,7.7680,0.126112,9.0060,0.146072,37.6960,0.611552
345678,100,25.6800,0.416368,13.1440,0.213112,9.8090,0.159072,48.6330,0.788552
456789,81,28.4610,0.461368,15.4310,0.250112,23.9610,0.388072,67.8530,1.099552
456789,82,20.2420,0.328368,9.1960,0.149224,10.0560,0.163072,39.4940,0.640664
456789,83,18.5730,0.301368,9.3750,0.152112,15.3090,0.248072,43.2570,0.701552
456789,84,22.0960,0.358368,10.5490,0.171112,13.9500,0.226072,46.5950,0.755552
456789,85,21.5400,0.349368,11.0430,0.179112,8.0790,0.131072,40.6620,0.659552
456789,86,30.4390,0.493368,8.6400,0.140224,14.5680,0.236072,53.6470,0.869664
456789,87,15.6070,0.253368,8.3240,0.135112,7.8980,0.128144,31.8290,0.516624
456789,88,17.9550,0.291368,11.4760,0.186112,9.4380,0.153072,38.8690,0.630552
456789,89,20.0180,0.324736,10.0540,0.163112,7.4610,0.121072,37.5330,0.608920
456789,90,16.5340,0.268368,14.3190,0.232112,12.6520,0.205072,43.5050,0.705552
456789,91,24.2590,0.393368,12.7120,0.206112,13.8260,0.224072,50.7970,0.823552
456789,92,16.1630,0.262368,9.3130,0.151112,7.9550,0.129072,33.4310,0.542552
456789,93,25.0010,0.405368,10.6110,0.172112,8.3260,0.135072,43.9380,0.712552
456789,94,21.9720,0.356368,12.0940,0.196112,11.1070,0.180072,45.1730,0.732552
456789,95,19.2340,0.312368,12.0940,0.196112,15.4950,0.251072,46.8230,0.759552
456789,96,28.9560,0.469368,11.5990,0.188112,15.2470,0.247072,55.8020,0.904552
456789,97,19.9330,0.323368,12.5880,0.204112,7.8930,0.128072,40.4140,0.655552
456789,98,19.0910,0.309736,11.7230,0.190112,11.9720,0.194072,42.7860,0.693920
456789,99,16.6580,0.270368,11.9700,0.194112,14.2590,0.231072,42.8870,0.695552
