Device_ID,Energy_J,CPU_Time_s
81,0.01378100,0.223379
82,0.00964000,0.156372
83,0.01446590,0.234462
84,0.01016920,0.164972
85,0.01435570,0.232679
86,0.01055460,0.171172
87,0.01488110,0.241179
88,0.01028940,0.166879
89,0.01544910,0.250372
90,0.01048730,0.170079
91,0.01592840,0.258162
92,0.01037360,0.168241
93,0.01387330,0.224872
94,0.00993460,0.161141
95,0.01473290,0.238779
96,0.00881190,0.142972
97,0.01368830,0.221879
98,0.01094420,0.177472
99,0.01524580,0.247079
100,0.01072760,0.173972
