Device_ID,Energy_J,CPU_Time_s
97,0.01283540,0.208112
98,0.01038200,0.168412
99,0.01237570,0.200712
100,0.01000350,0.162323
101,0.01473260,0.238812
102,0.00891060,0.144606
103,0.01245360,0.201934
104,0.00943720,0.153123
105,0.01383660,0.224312
106,0.00877500,0.142412
107,0.01615140,0.261768
108,0.01205010,0.195405
109,0.01262510,0.204712
110,0.00967940,0.157112
111,0.01204430,0.195312
112,0.00943500,0.153123
113,0.01351590,0.219123
114,0.00975300,0.158234
115,0.01349110,0.218723
116,0.01222710,0.198268
117,0.01546760,0.250705
118,0.01322440,0.214405
119,0.01752320,0.283968
120,0.01288430,0.208905
