Device_ID,Energy_J,CPU_Time_s
97,0.02691870,0.436405
98,0.01966850,0.319088
99,0.02569660,0.416705
100,0.01812460,0.294105
101,0.02537750,0.411468
102,0.02152750,0.349168
103,0.02756320,0.446868
104,0.02142460,0.347505
105,0.02606350,0.422568
106,0.01988170,0.322535
107,0.03470040,0.562324
108,0.02944520,0.477286
109,0.02601800,0.421868
110,0.02076190,0.336868
111,0.02688070,0.435805
112,0.02066410,0.335349
113,0.03012300,0.488405
114,0.02092190,0.339368
115,0.02725480,0.441905
116,0.02505930,0.406324
117,0.03097550,0.502086
118,0.02546280,0.412849
119,0.03123480,0.506244
120,0.02771580,0.449324
