Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
112345,97,23.5790,0.382368,10.1780,0.165112,10.5510,0.171072,44.3080,0.718552
112345,98,18.1410,0.294368,11.3520,0.184112,14.1350,0.229072,43.6280,0.707552
112345,99,29.9210,0.485736,11.6610,0.189112,16.2360,0.263072,57.8180,0.937920
112345,100,15.3210,0.248736,12.5880,0.204112,5.6680,0.092072,33.5770,0.544920
112345,101,26.2980,0.426368,14.6890,0.238112,10.7360,0.174072,51.7230,0.838552
112345,102,17.3990,0.282368,8.8180,0.143112,12.1570,0.197072,38.3740,0.622552
112345,103,20.6750,0.335368,10.6110,0.172112,9.8750,0.160144,41.1610,0.667624
112345,104,25.3710,0.411368,9.3750,0.152112,10.7360,0.174072,45.4820,0.737552
112345,105,24.1350,0.391368,12.0320,0.195112,13.8880,0.225072,50.0550,0.811552
112345,106,22.8560,0.370664,9.4360,0.153112,10.4270,0.169072,42.7190,0.692848
112345,107,41.2080,0.667624,14.5200,0.235368,20.9490,0.339328,76.6770,1.242320
112345,108,32.4320,0.525624,9.9470,0.161368,13.6560,0.221328,56.0350,0.908320
112345,109,30.0060,0.486368,15.6780,0.254112,12.8990,0.209072,58.5830,0.949552
112345,110,15.8540,0.257368,9.9310,0.161112,8.5110,0.138072,34.2960,0.556552
112345,111,26.1750,0.424368,10.1160,0.164112,11.2300,0.182072,47.5210,0.770552
112345,112,23.3710,0.379368,8.4880,0.138112,6.2160,0.100928,38.0750,0.618408
112345,113,26.7930,0.434368,14.9370,0.242112,11.7870,0.191072,53.5170,0.867552
112345,114,21.8490,0.354368,9.0730,0.147224,15.6180,0.253072,46.5400,0.754664
112345,115,26.4840,0.429368,11.9080,0.193112,15.9270,0.258072,54.3190,0.880552
112345,116,27.9210,0.452624,10.4410,0.169368,13.6150,0.220656,51.9770,0.842648
112345,117,30.5780,0.495624,18.8460,0.305368,20.7020,0.335328,70.1260,1.136320
112345,118,30.9490,0.501624,8.9580,0.145368,22.8850,0.370656,62.7920,1.017648
112345,119,29.5900,0.479624,18.5990,0.301368,21.7520,0.352328,69.9410,1.133320
112345,120,25.0160,0.405624,11.5530,0.187368,13.9040,0.225328,50.4730,0.818320
123456,97,31.4900,0.510368,10.8580,0.176112,17.2870,0.280072,59.6350,0.966552
123456,98,22.3430,0.362368,11.2290,0.182112,10.0560,0.163072,43.6280,0.707552
123456,99,23.6410,0.383368,11.9080,0.193112,12.7140,0.206072,48.2630,0.782552
123456,100,19.4390,0.315368,9.1270,0.148112,9.2530,0.150072,37.8190,0.613552
123456,101,17.1520,0.278368,10.5490,0.171112,14.3820,0.233072,42.0830,0.682552
123456,102,18.5120,0.300368,9.7450,0.158112,12.0340,0.195072,40.2910,0.653552
123456,103,28.7090,0.465368,10.3630,0.168112,19.3880,0.314072,58.4600,0.947552
123456,104,23.2700,0.377368,6.7790,0.110112,8.8200,0.143072,38.8690,0.630552
123456,105,21.7870,0.353368,17.2230,0.279112,12.1620,0.197144,51.1720,0.829624
123456,106,15.9390,0.258736,3.7510,0.061112,7.7700,0.126072,27.4600,0.445920
123456,107,32.9270,0.533624,14.1490,0.229368,24.8280,0.402328,71.9040,1.165320
123456,108,32.6180,0.528624,13.5310,0.219368,13.3470,0.216328,59.4960,0.964320
123456,109,20.9220,0.339368,15.0600,0.244112,11.1690,0.181072,47.1510,0.764552
123456,110,21.7870,0.353368,12.4220,0.202112,7.0280,0.114072,41.2370,0.669552
123456,111,40.2260,0.651736,8.3860,0.136112,17.9050,0.290072,66.5170,1.077920
123456,112,18.0790,0.293368,8.5710,0.139112,7.9590,0.129144,34.6090,0.561624
123456,113,28.5230,0.462368,15.3690,0.249112,13.6410,0.221072,57.5330,0.932552
123456,114,17.2760,0.280368,6.4700,0.105112,10.6740,0.173072,34.4200,0.558552
123456,115,33.5720,0.544368,13.3920,0.217112,11.1690,0.181072,58.1330,0.942552
123456,116,24.3370,0.394624,12.8510,0.208368,10.0720,0.163328,47.2600,0.766320
123456,117,31.5670,0.511624,13.0980,0.212368,15.7160,0.254656,60.3810,0.978648
123456,118,22.4210,0.363624,12.1710,0.197368,9.8250,0.159328,44.4170,0.720320
123456,119,35.7080,0.578624,15.0760,0.244368,17.4260,0.282328,68.2100,1.105320
123456,120,24.8310,0.402624,9.0200,0.146368,14.1510,0.229328,48.0020,0.778320
234567,97,27.1640,0.440368,17.5320,0.284112,18.9550,0.307072,63.6510,1.031552
234567,98,24.1970,0.392368,10.4250,0.169112,15.4240,0.250072,50.0460,0.811552
234567,99,22.1580,0.359368,12.5260,0.203112,10.6740,0.173072,45.3580,0.735552
234567,100,17.0900,0.277368,9.8760,0.160224,12.2810,0.199072,39.2470,0.636664
234567,101,26.9160,0.436368,19.0150,0.308112,19.4500,0.315072,65.3810,1.059552
234567,102,21.7250,0.352368,10.5490,0.171112,8.7580,0.142072,41.0320,0.665552
234567,103,30.7880,0.499368,11.0500,0.179224,12.4660,0.202072,54.3040,0.880664
234567,104,21.6020,0.350368,8.4550,0.137224,11.9100,0.193072,41.9670,0.680664
234567,105,33.2200,0.538368,14.3190,0.232112,21.4890,0.348072,69.0280,1.118552
234567,106,24.2990,0.394008,11.9080,0.193112,16.6070,0.269072,52.8140,0.856192
234567,107,33.6680,0.545624,14.5820,0.236368,17.1170,0.277328,65.3670,1.059320
234567,108,26.7470,0.433624,12.4800,0.202368,11.5550,0.187328,50.7820,0.823320
234567,109,24.0120,0.389368,11.5990,0.188112,18.8320,0.305072,54.4430,0.882552
