Seed,Node,Round,CPU_s,Energy_mJ
123456,3,ENROLL,13.075112,807.9020
123456,3,ROUND1,0.281424,17.3080
123456,3,ROUND2,0.167880,10.3320
123456,3,ROUND3,0.209472,12.8760
123456,3,ROUND4,0.229472,14.1120
123456,5,ENROLL,13.607112,840.7390
123456,5,ROUND1,0.163360,10.0260
123456,5,ROUND2,0.223960,13.7980
123456,5,ROUND3,0.139472,8.5500
123456,5,ROUND4,0.232472,14.2980
123456,4,ENROLL,21.597072,1334.5070
123456,4,ROUND1,0.205464,12.6280
123456,4,ROUND2,0.191344,11.7830
123456,4,ROUND3,0.197472,12.1350
123456,4,ROUND4,0.165472,10.1570
234567,4,ENROLL,9.514112,587.8530
234567,4,ROUND1,0.153424,9.4120
234567,4,ROUND2,0.129880,7.9840
234567,4,ROUND3,0.312472,19.2420
234567,4,ROUND4,0.254472,15.6570
234567,3,ENROLL,10.782112,666.2370
234567,3,ROUND1,0.188360,11.5710
234567,3,ROUND2,0.193912,11.9410
234567,3,ROUND3,0.290168,17.8630
234567,3,ROUND4,0.202472,12.4440
234567,5,ENROLL,13.131112,811.3630
234567,5,ROUND1,0.181360,11.1390
234567,5,ROUND2,0.199880,12.3100
234567,5,ROUND3,0.399040,24.5830
234567,5,ROUND4,0.205472,12.6290
345678,3,ENROLL,11.361112,701.9720
345678,3,ROUND1,0.240600,14.8000
345678,3,ROUND2,0.125728,7.7270
345678,3,ROUND3,0.205472,12.6290
345678,3,ROUND4,0.257536,15.8470
345678,4,ENROLL,10.832112,669.2840
345678,4,ROUND1,0.202360,12.4370
345678,4,ROUND2,0.189880,11.6710
345678,4,ROUND3,0.331536,20.4200
345678,4,ROUND4,0.200472,12.3200
345678,5,ENROLL,10.873112,671.8220
345678,5,ROUND1,0.171424,10.5250
345678,5,ROUND2,0.141880,8.7260
345678,5,ROUND3,0.174472,10.7130
345678,5,ROUND4,0.253472,15.5950
456789,3,ENROLL,11.306192,698.6040
456789,3,ROUND1,0.300344,18.4920
456789,3,ROUND2,0.159880,9.8380
456789,3,ROUND3,0.230472,14.1740
456789,3,ROUND4,0.425536,26.2290
456789,4,ENROLL,12.269112,758.1120
456789,4,ROUND1,0.457424,28.1950
456789,4,ROUND2,0.139880,8.6020
456789,4,ROUND3,0.196832,12.0950
456789,4,ROUND4,0.238472,14.6680
456789,5,ENROLL,11.836112,731.3490
456789,5,ROUND1,0.212992,13.0940
456789,5,ROUND2,0.130880,8.0460
456789,5,ROUND3,0.190656,11.7130
456789,5,ROUND4,0.148472,9.1060
567890,5,ENROLL,11.647112,719.6760
567890,5,ROUND1,0.216928,13.3370
567890,5,ROUND2,0.149912,9.2220
567890,5,ROUND3,0.229536,14.1160
567890,5,ROUND4,0.246472,15.1630
567890,4,ENROLL,12.600192,778.5510
567890,4,ROUND1,0.269344,16.5760
567890,4,ROUND2,0.273880,16.8830
567890,4,ROUND3,0.206472,12.6910
567890,4,ROUND4,0.199472,12.2580
567890,3,ENROLL,16.576112,1024.2260
567890,3,ROUND1,0.293424,18.0580
567890,3,ROUND2,0.192344,11.8440
567890,3,ROUND3,0.183472,11.2690
567890,3,ROUND4,0.240536,14.7960
