Scheme,N_total,N_devices,Phase,Avg_Energy_mJ,CI95_Energy_mJ,Avg_CPU_s,CI95_CPU_s
Proposed,10,1,Enrollment,1553.6020,331.9194,25.142642,5.371083
Proposed,10,1,Authentication,18.1728,2.0888,0.294744,0.033800
Proposed,10,1,Key Exchange,14.0058,2.2879,0.227050,0.037020
Proposed,10,1,Auth+KeyEx,32.1786,3.0980,0.521794,0.050129
Proposed,20,2,Enrollment,310.5948,204.6869,5.027012,3.312291
Proposed,20,2,Authentication,11.2638,1.4348,0.182950,0.023215
Proposed,20,2,Key Exchange,10.0048,1.2481,0.162373,0.020252
Proposed,20,2,Auth+KeyEx,21.2686,1.9017,0.345323,0.030807
Proposed,30,3,Enrollment,19.4107,0.5319,0.314931,0.008599
Proposed,30,3,Authentication,14.9751,2.1835,0.243008,0.035339
Proposed,30,3,Key Exchange,10.1037,0.3294,0.163908,0.005331
Proposed,30,3,Auth+KeyEx,25.0788,2.2082,0.406916,0.035739
LAAKA,10,1,Enrollment,1394.3612,472.6967,22.565413,7.649041
LAAKA,10,1,Authentication,51.0624,6.1249,0.827923,0.099127
LAAKA,10,1,Key Exchange,40.0168,5.1598,0.648762,0.083513
LAAKA,10,1,Auth+KeyEx,91.0792,8.0086,1.476685,0.129617
LAAKA,20,2,Enrollment,3.2291,0.3899,0.052646,0.006308
LAAKA,20,2,Authentication,32.1837,1.4095,0.522424,0.022808
LAAKA,20,2,Key Exchange,23.9307,1.0461,0.388456,0.016927
LAAKA,20,2,Auth+KeyEx,56.1144,1.7553,0.910880,0.028403
LAAKA,30,3,Enrollment,5.1051,0.4653,0.083033,0.007528
LAAKA,30,3,Authentication,40.3603,1.6179,0.654776,0.026226
LAAKA,30,3,Key Exchange,0.0000,0.0000,0.000000,0.000000
LAAKA,30,3,Auth+KeyEx,40.3603,1.6179,0.654776,0.026226
Zhou,10,1,Enrollment,1557.8604,362.2369,25.211482,5.861773
Zhou,10,1,Authentication,53.4140,1.2418,0.865276,0.020096
Zhou,20,2,Enrollment,169.6798,76.9197,2.746848,1.244805
Zhou,20,1,Authentication,25.1122,2.9343,0.407320,0.047480
Zhou,30,3,Enrollment,34.5016,23.7775,0.559293,0.384852
Zhou,30,2,Authentication,34.3257,3.2365,0.556579,0.052289
