Device_ID, Base_CPU_s, Base_Energy_J, LAAKA_CPU_s, LAAKA_Energy_J, Proposed_CPU_s, Proposed_Energy_J, Base_vs_Proposed_CPU_pct, LAAKA_vs_Proposed_CPU_pct, Base_vs_Proposed_Energy_pct, LAAKA_vs_Proposed_Energy_pct
       81,   0.324392,      0.020022,    0.215016,       0.013243,       0.33544 ,          0.02066 ,  -3.41,  -56.01,  -3.19,  -56.01
       82,   0.181880,      0.011214,    0.61008 ,       0.037601,       0.38908 ,          0.023975, -113.93,   36.22, -113.82,   36.24
       83,   0.116880,      0.007197,    0.63416 ,       0.039089,       0.321872,          0.019817, -175.39,   49.24, -175.35,   49.3
       84,   0.158136,      0.009747,    0.61308 ,       0.037786,       0.341016,          0.020981, -115.64,   44.38, -115.26,   44.47
       85,   0.262136,      0.016174,    0.244016,       0.015036,       0.37208 ,          0.022924,  -41.94,  -52.48,  -41.74,  -52.46
       86,   0.162880,      0.010040,    0.71108 ,       0.043843,       0.36208 ,          0.022302, -122.30,   49.08, -122.13,   49.13
       87,   0.207272,      0.012784,    0.69808 ,       0.043039,       0.36144 ,          0.022244,  -74.39,   48.22,  -73.98,   48.32
       88,   0.256392,      0.015819,    0.920336,       0.056775,       0.585336,          0.036103, -128.33,   36.4 , -128.22,   36.41
       89,   0.270136,      0.016668,    0.941336,       0.058073,       0.455336,          0.028069,  -68.56,   51.63,  -68.41,   51.67
       90,   0.117880,      0.007259,    0.766672,       0.047278,       0.423336,          0.026087, -259.08,   44.78, -259.37,   44.82
       91,   0.197136,      0.012157,    0.51016 ,       0.031426,       0.41508 ,          0.025582, -110.56,   18.64, -110.46,   18.6
       92,   0.238136,      0.014691,    0.69008 ,       0.042545,       0.405016,          0.02496 ,  -70.08,   41.31,  -69.90,   41.33
       93,   0.144880,      0.008928,    0.238016,       0.014665,       0.34708 ,          0.021379, -139.56,  -45.82, -139.46,  -45.78
       94,   0.309704,      0.019114,    0.212016,       0.013058,       0.45408 ,          0.027992,  -46.62, -114.17,  -46.50, -114.37
       95,   0.299880,      0.018507,    0.304544,       0.018776,       0.517336,          0.031901,  -72.51,  -69.87,  -72.38,  -69.9
       96,   0.109880,      0.006765,    0.282272,       0.0174  ,       0.407336,          0.025103, -270.74,  -44.31, -271.16,  -44.27
       97,   0.246136,      0.015185,    0.759336,       0.046825,       0.479336,          0.029553,  -94.74,   36.87,  -94.61,   36.89
       98,   0.279136,      0.017225,    0.352272,       0.021726,       0.486336,          0.029985,  -74.23,  -38.06,  -74.07,  -38.01
       99,   0.240312,      0.014825,    0.273272,       0.016844,       0.544336,          0.03357 , -126.55,  -99.19, -126.47,  -99.3
      100,   0.203136,      0.012528,    0.804336,       0.049606,       0.357336,          0.022013,  -75.91,   55.57,  -75.73,   55.62
