Scheme,Seed,Phase,Num_Devices,Avg_CPU_s,Avg_Energy_J,Avg_CPU_Only_Energy_J,Min_CPU_s,Max_CPU_s,Min_Energy_J,Max_Energy_J
Base-Scheme,123456,Enrollment,20,0.424936,0.026210,0.00229466,0.335624,0.577624,0.020695,0.035650
Base-Scheme,123456,Authentication,20,0.229592,0.014163,0.00123980,0.189392,0.293392,0.011679,0.018106
Base-Scheme,123456,Key Exchange,20,0.169448,0.010448,0.00091502,0.104816,0.279632,0.006453,0.017257
Base-Scheme,234567,Enrollment,20,0.426543,0.026310,0.00230333,0.310624,0.537624,0.019150,0.033165
Base-Scheme,234567,Authentication,20,0.232362,0.014334,0.00125475,0.187392,0.305392,0.011555,0.018847
Base-Scheme,234567,Key Exchange,20,0.153507,0.009462,0.00082894,0.083816,0.202816,0.005156,0.012510
Base-Scheme,345678,Enrollment,20,0.445955,0.027510,0.00240816,0.335624,0.558624,0.020695,0.034457
Base-Scheme,345678,Authentication,20,0.230092,0.014194,0.00124250,0.141392,0.315392,0.008712,0.019465
Base-Scheme,345678,Key Exchange,20,0.155229,0.009569,0.00083824,0.103816,0.218816,0.006392,0.013499
Base-Scheme,456789,Enrollment,20,0.427568,0.026377,0.00230887,0.365248,0.502624,0.022525,0.031015
Base-Scheme,456789,Authentication,20,0.224892,0.013873,0.00121442,0.141392,0.300392,0.008712,0.018538
Base-Scheme,456789,Key Exchange,20,0.158307,0.009759,0.00085486,0.104816,0.206816,0.006453,0.012757
Base-Scheme,567890,Enrollment,20,0.420183,0.025920,0.00226899,0.342920,0.490880,0.021146,0.030290
Base-Scheme,567890,Authentication,20,0.215855,0.013314,0.00116562,0.098392,0.322648,0.006055,0.019914
Base-Scheme,567890,Key Exchange,20,0.157470,0.009707,0.00085034,0.083816,0.278632,0.005156,0.017195
LAAKA,123456,Enrollment,20,0.208968,0.012884,0.00112843,0.101600,0.367856,0.006249,0.022703
LAAKA,123456,Authentication,13,0.713755,0.044008,0.00385428,0.510160,0.941336,0.031426,0.058073
LAAKA,123456,Key Exchange,13,0.542364,0.033442,0.00292877,0.375112,0.748368,0.023106,0.046173
LAAKA,234567,Enrollment,20,0.216354,0.013341,0.00116831,0.124600,0.345152,0.007670,0.021300
LAAKA,234567,Authentication,13,0.714378,0.044045,0.00385764,0.561080,0.897336,0.034573,0.055353
LAAKA,234567,Key Exchange,13,0.534922,0.032982,0.00288858,0.440112,0.650368,0.027123,0.040117
LAAKA,345678,Enrollment,20,0.214065,0.013199,0.00115595,0.130600,0.392856,0.008041,0.024244
LAAKA,345678,Authentication,17,0.739514,0.045597,0.00399338,0.571080,0.912336,0.035191,0.056280
LAAKA,345678,Key Exchange,17,0.556762,0.034329,0.00300651,0.406112,0.708112,0.025022,0.043685
LAAKA,456789,Enrollment,20,0.213865,0.013186,0.00115487,0.098600,0.315856,0.006063,0.019469
LAAKA,456789,Authentication,16,0.745771,0.045987,0.00402716,0.552080,0.956336,0.034017,0.059000
LAAKA,456789,Key Exchange,16,0.559609,0.034508,0.00302189,0.410016,0.729368,0.025268,0.044999
LAAKA,567890,Enrollment,20,0.221115,0.013635,0.00119402,0.125600,0.301856,0.007732,0.018620
LAAKA,567890,Authentication,11,0.760947,0.046925,0.00410911,0.607080,0.956336,0.037416,0.059000
LAAKA,567890,Key Exchange,11,0.578524,0.035677,0.00312403,0.443112,0.757368,0.027308,0.046730
Proposed-Scheme,123456,Enrollment,20,0.595052,0.036720,0.00321328,0.256368,4.578368,0.015792,0.282864
Proposed-Scheme,123456,Authentication,20,0.414572,0.025548,0.00223869,0.301016,0.541336,0.018514,0.033384
Proposed-Scheme,123456,Key Exchange,20,0.272598,0.016804,0.00147203,0.169272,0.375392,0.010419,0.023157
Proposed-Scheme,234567,Enrollment,20,0.385983,0.023802,0.00208431,0.271368,0.525624,0.016719,0.032432
Proposed-Scheme,234567,Authentication,20,0.436159,0.026881,0.00235526,0.281080,0.616336,0.017300,0.038019
Proposed-Scheme,234567,Key Exchange,20,0.296649,0.018289,0.00160191,0.180136,0.415392,0.011090,0.025629
Proposed-Scheme,345678,Enrollment,20,0.383114,0.023624,0.00206882,0.260368,0.666624,0.016040,0.041146
Proposed-Scheme,345678,Authentication,20,0.447804,0.027598,0.00241814,0.324016,0.664272,0.019954,0.040982
Proposed-Scheme,345678,Key Exchange,20,0.302421,0.018647,0.00163307,0.212136,0.452392,0.013068,0.027915
Proposed-Scheme,456789,Enrollment,20,0.378202,0.023321,0.00204229,0.260736,0.503624,0.016062,0.031073
Proposed-Scheme,456789,Authentication,20,0.437673,0.026977,0.00236343,0.323080,0.560272,0.019896,0.034555
Proposed-Scheme,456789,Key Exchange,20,0.304483,0.018775,0.00164421,0.174768,0.440392,0.010758,0.027174
Proposed-Scheme,567890,Enrollment,20,0.378433,0.023335,0.00204354,0.300368,0.547624,0.018512,0.033792
Proposed-Scheme,567890,Authentication,20,0.418525,0.025792,0.00226004,0.248016,0.557336,0.015257,0.034373
Proposed-Scheme,567890,Key Exchange,20,0.295305,0.018207,0.00159465,0.163136,0.388392,0.010039,0.023960
