"Device","CPU_s","Energy_J"
"81","0.234368","0.014433"
"82","0.274368","0.016905"
"83","0.360368","0.022220"
"84","0.547736","0.033753"
"85","0.366104","0.022570"
"86","0.231368","0.014247"
"87","0.350368","0.021578"
"88","0.420624","0.025943"
"89","0.483624","0.029809"
"90","0.460624","0.028415"
"91","0.328368","0.020242"
"92","0.316368","0.019500"
"93","0.313736","0.019338"
"94","0.221368","0.013629"
"95","0.438624","0.027056"
"96","0.417624","0.025758"
"97","0.381624","0.023533"
"98","0.478624","0.029477"
"99","0.394624","0.024337"
"100","0.449624","0.027736"
