"Device","CPU_s","Energy_J"
"81","0.264136","0.016281"
"82","0.252136","0.015540"
"83","0.228768","0.014095"
"84","0.243136","0.014983"
"85","0.254136","0.015663"
"86","0.243704","0.015018"
"87","0.246136","0.015169"
"88","0.372392","0.022971"
"89","0.315392","0.019449"
"90","0.215392","0.013269"
"91","0.311136","0.019186"
"92","0.222136","0.013686"
"93","0.218136","0.013438"
"94","0.250136","0.015416"
"95","0.372392","0.022971"
"96","0.307392","0.018954"
"97","0.340392","0.020994"
"98","0.347392","0.021426"
"99","0.328392","0.020252"
"100","0.222392","0.013701"
