"Device","CPU_s","Energy_J"
"81","0.33544","0.02066"
"82","0.38908","0.023975"
"83","0.321872","0.019817"
"84","0.341016","0.020981"
"85","0.37208","0.022924"
"86","0.36208","0.022302"
"87","0.36144","0.022244"
"88","0.585336","0.036103"
"89","0.455336","0.028069"
"90","0.423336","0.026087"
"91","0.41508","0.025582"
"92","0.405016","0.02496"
"93","0.34708","0.021379"
"94","0.45408","0.027992"
"95","0.517336","0.031901"
"96","0.407336","0.025103"
"97","0.479336","0.029553"
"98","0.486336","0.029985"
"99","0.544336","0.03357"
"100","0.357336","0.022013"
