Scheme,Num_Devices,Phase,Num_Samples,Avg_CPU_s,StdDev_CPU_s,Avg_Energy_J,StdDev_Energy_J,Avg_CPU_Only_Energy_J
Base-Scheme,1,Enrollment,3,11.744112,1.201307,0.725663,0.074224,0.06341820
Base-Scheme,1,Authentication,3,0.138435,0.031262,0.008529,0.001932,0.00074755
Base-Scheme,1,Key Exchange,3,0.049683,0.014224,0.003047,0.000879,0.00026829
Base-Scheme,5,Enrollment,15,11.881445,5.310989,0.734149,0.328194,0.06415980
Base-Scheme,5,Authentication,15,0.112183,0.035179,0.006905,0.002172,0.00060579
Base-Scheme,5,Key Exchange,15,0.060110,0.034661,0.003691,0.002141,0.00032459
Base-Scheme,20,Enrollment,60,10.320238,9.043181,0.637662,0.558814,0.05572929
Base-Scheme,20,Authentication,60,0.143430,0.061568,0.008836,0.003802,0.00077452
Base-Scheme,20,Key Exchange,60,0.080769,0.033497,0.004967,0.002070,0.00043615
LAAKA,1,Enrollment,3,10.817397,0.751229,0.668416,0.046419,0.05841395
LAAKA,5,Enrollment,15,9.072052,5.443020,0.560567,0.336350,0.04898908
LAAKA,5,Authentication,11,0.877244,1.153586,0.054102,0.071275,0.00473712
LAAKA,5,Key Exchange,11,0.752548,1.162604,0.046422,0.071832,0.00406376
LAAKA,20,Enrollment,60,8.557922,8.975927,0.528787,0.554656,0.04621278
LAAKA,20,Authentication,54,0.823455,0.835066,0.050779,0.051590,0.00444666
LAAKA,20,Key Exchange,54,0.538212,0.488173,0.033181,0.030162,0.00290635
Proposed-Scheme,1,Enrollment,3,11.744112,1.186799,0.725659,0.073327,0.06341820
Proposed-Scheme,1,Authentication,3,0.236403,0.031015,0.014540,0.001916,0.00127657
Proposed-Scheme,1,Key Exchange,3,0.172435,0.031342,0.010614,0.001937,0.00093115
Proposed-Scheme,5,Enrollment,15,11.889060,5.325116,0.734615,0.329068,0.06420092
Proposed-Scheme,5,Authentication,15,0.237677,0.060146,0.014617,0.003717,0.00128346
Proposed-Scheme,5,Key Exchange,15,0.174771,0.042705,0.010756,0.002637,0.00094376
Proposed-Scheme,20,Enrollment,60,10.233978,9.121261,0.632324,0.563642,0.05526348
Proposed-Scheme,20,Authentication,60,0.399019,0.524144,0.024582,0.032386,0.00215470
Proposed-Scheme,20,Key Exchange,60,0.234507,0.090010,0.014447,0.005559,0.00126634
