Scheme,Seed,Phase,Num_Devices,Avg_CPU_s,Avg_Energy_J,Avg_CPU_Only_Energy_J,Min_CPU_s,Max_CPU_s,Min_Energy_J,Max_Energy_J
Proposed-Scheme,123456,Enrollment,20,0.595052,0.036720,0.00321328,0.256368,4.578368,0.015792,0.282864
Proposed-Scheme,123456,Authentication,20,0.414572,0.025548,0.00223869,0.301016,0.541336,0.018514,0.033384
Proposed-Scheme,123456,Key Exchange,20,0.272598,0.016804,0.00147203,0.169272,0.375392,0.010419,0.023157
Proposed-Scheme,234567,Enrollment,20,0.385983,0.023802,0.00208431,0.271368,0.525624,0.016719,0.032432
Proposed-Scheme,234567,Authentication,20,0.436159,0.026881,0.00235526,0.281080,0.616336,0.017300,0.038019
Proposed-Scheme,234567,Key Exchange,20,0.296649,0.018289,0.00160191,0.180136,0.415392,0.011090,0.025629
Proposed-Scheme,345678,Enrollment,20,0.383114,0.023624,0.00206882,0.260368,0.666624,0.016040,0.041146
Proposed-Scheme,345678,Authentication,20,0.447804,0.027598,0.00241814,0.324016,0.664272,0.019954,0.040982
Proposed-Scheme,345678,Key Exchange,20,0.302421,0.018647,0.00163307,0.212136,0.452392,0.013068,0.027915
Proposed-Scheme,456789,Enrollment,20,0.378202,0.023321,0.00204229,0.260736,0.503624,0.016062,0.031073
Proposed-Scheme,456789,Authentication,20,0.437673,0.026977,0.00236343,0.323080,0.560272,0.019896,0.034555
Proposed-Scheme,456789,Key Exchange,20,0.304483,0.018775,0.00164421,0.174768,0.440392,0.010758,0.027174
Proposed-Scheme,567890,Enrollment,20,0.378433,0.023335,0.00204354,0.300368,0.547624,0.018512,0.033792
Proposed-Scheme,567890,Authentication,20,0.418525,0.025792,0.00226004,0.248016,0.557336,0.015257,0.034373
Proposed-Scheme,567890,Key Exchange,20,0.295305,0.018207,0.00159465,0.163136,0.388392,0.010039,0.023960
