Device_ID,Base_CPU_s,Base_Energy_J,Proposed_CPU_s,Proposed_Energy_J,LAAKA_CPU_s,LAAKA_Energy_J,Proposed_vs_Base_CPU_pct,Proposed_vs_LAAKA_CPU_pct,Proposed_vs_Base_Energy_pct,Proposed_vs_LAAKA_Energy_pct
82,0.301208,0.018565,0.389080,0.023975,0.610080,0.037601,-29.17,36.22,-29.14,36.24
83,0.380208,0.023447,0.321872,0.019817,0.634160,0.039089,15.34,49.24,15.48,49.30
84,0.361208,0.022272,0.341016,0.020981,0.613080,0.037786,5.59,44.38,5.80,44.47
85,0.357024,0.022014,0.372080,0.022924,0.620080,0.038219,-4.22,39.99,-4.13,40.02
86,0.468208,0.028885,0.362080,0.022302,0.711080,0.043843,22.67,49.08,22.79,49.13
87,0.471208,0.029071,0.361440,0.022244,0.698080,0.043039,23.30,48.22,23.48,48.32
88,0.446208,0.027526,0.585336,0.036103,0.920336,0.056775,-31.18,36.40,-31.16,36.41
89,0.475208,0.029318,0.455336,0.028069,0.941336,0.058073,4.18,51.63,4.26,51.67
90,0.400208,0.024683,0.423336,0.026087,0.766672,0.047278,-5.78,44.78,-5.69,44.82
91,0.374208,0.023076,0.415080,0.025582,0.510160,0.031426,-10.92,18.64,-10.86,18.60
92,0.373208,0.023015,0.405016,0.024960,0.690080,0.042545,-8.52,41.31,-8.45,41.33
97,0.375208,0.023138,0.479336,0.029553,0.759336,0.046825,-27.75,36.87,-27.72,36.89
100,0.332208,0.020480,0.357336,0.022013,0.804336,0.049606,-7.56,55.57,-7.49,55.62
