Seed,Node,Round,CPU_s,Energy_mJ
123456,3,ENROLL,13.099112,809.3890
123456,3,ROUND1,0.143728,8.8340
123456,3,ROUND2,0.113880,7.0120
123456,3,ROUND3,0.548472,33.7620
123456,5,ENROLL,13.680112,845.2550
123456,5,ROUND1,0.140360,8.6260
123456,5,ROUND2,0.103880,6.3940
123456,5,ROUND3,0.637472,39.2690
123456,4,ENROLL,21.558112,1332.1120
123456,4,ROUND1,0.147360,9.0580
123456,4,ROUND2,0.121408,7.4770
123456,4,ROUND3,0.426472,26.2350
234567,4,ENROLL,9.520112,588.2280
234567,4,ROUND1,0.156360,9.6150
234567,4,ROUND2,0.106880,6.5790
234567,4,ROUND3,0.513472,31.6110
234567,3,ENROLL,10.727112,662.8430
234567,3,ROUND1,0.159360,9.8000
234567,3,ROUND2,0.080880,4.9720
234567,3,ROUND3,0.470472,28.9540
234567,5,ENROLL,13.177112,814.2100
234567,5,ROUND1,0.124360,7.6370
234567,5,ROUND2,0.090880,5.5900
234567,5,ROUND3,0.536472,33.0330
345678,3,ENROLL,11.388112,703.6450
345678,3,ROUND1,0.194360,11.9630
345678,3,ROUND2,0.163880,10.1020
345678,3,ROUND3,0.416472,25.6170
345678,4,ENROLL,10.794112,666.9400
345678,4,ROUND1,0.187360,11.5300
345678,4,ROUND2,0.094880,5.8380
345678,4,ROUND3,0.548472,33.7740
345678,5,ENROLL,10.874112,671.8880
345678,5,ROUND1,0.147360,9.0580
345678,5,ROUND2,0.105880,6.5170
345678,5,ROUND3,0.519472,31.9820
456789,3,ENROLL,11.338192,700.5860
456789,3,ROUND1,0.230280,14.1790
456789,3,ROUND2,0.096880,5.9610
456789,3,ROUND3,0.459472,28.2740
456789,4,ENROLL,12.255112,757.2510
456789,4,ROUND1,0.307984,18.9850
456789,4,ROUND2,0.142880,8.8040
456789,4,ROUND3,0.478472,29.4440
456789,5,ENROLL,11.788112,728.3760
456789,5,ROUND1,0.172360,10.6090
456789,5,ROUND2,0.082728,5.0870
456789,5,ROUND3,0.492232,30.2990
567890,4,ENROLL,12.564112,776.3260
567890,4,ROUND1,3.604728,222.6850
567890,4,ROUND2,0.112728,6.9410
567890,4,ROUND3,0.475840,29.2860
567890,5,ENROLL,11.703224,723.1480
567890,5,ROUND1,0.195248,12.0180
567890,5,ROUND2,0.112880,6.9500
567890,5,ROUND3,0.372472,22.8980
567890,3,ENROLL,13.495112,833.8480
567890,3,ROUND1,0.149360,9.1820
567890,3,ROUND2,0.125880,7.7530
567890,3,ROUND3,0.518472,31.9200
