Device_ID,Fog_ID,CPU_Time_s,Energy_J,Seed
82,2,0.61008,0.037601,123456
83,2,0.63416,0.039089,123456
84,2,0.61308,0.037786,123456
85,2,0.62008,0.038219,123456
86,2,0.71108,0.043843,123456
87,2,0.69808,0.043039,123456
88,2,0.920336,0.056775,123456
89,2,0.941336,0.058073,123456
90,2,0.766672,0.047278,123456
91,3,0.51016,0.031426,123456
92,3,0.69008,0.042545,123456
93,3,0.57108,0.035191,345678
94,3,0.66208,0.040815,234567
95,3,0.760336,0.046887,234567
96,3,0.804672,0.049627,234567
97,3,0.759336,0.046825,123456
98,3,0.833336,0.051398,234567
99,3,0.911336,0.056219,345678
100,3,0.804336,0.049606,123456
