Device_ID, Auth_Rounds, Avg_CPU_s, Avg_Energy_J, Enroll_Energy_J, Enroll_CPU_s
       81,          21,  0.566157,     0.034919,        0.019822,     0.290168
       82,          55,  0.664623,     0.041005,        0.024024,     0.307584
       83,          55,  0.696418,     0.042973,        0.02305 ,     0.408584
       84,          55,  0.708593,     0.043723,        0.023282,     0.416168
       85,          54,  0.963907,     0.059495,        0.016237,     0.329584
       86,          54,  1.061555,     0.065534,        0.016423,     0.334584
       87,          54,  1.074519,     0.066335,        0.022664,     0.310584
       88,          54,  0.895921,     0.055307,        0.026873,     0.47468
       89,          54,  0.820265,     0.050623,        0.027439,     0.42984
       90,          54,  0.862176,     0.053215,        0.029046,     0.44884
       91,          54,  0.816323,     0.050375,        0.018215,     0.294584
       92,          54,  1.157556,     0.071463,        0.022417,     0.332584
       93,          54,  0.965314,     0.059587,        0.020414,     0.262584
       94,          54,  0.784466,     0.048412,        0.019451,     0.269584
       95,          54,  1.037613,     0.064058,        0.026883,     0.43084
       96,          54,  0.961313,     0.059346,        0.024781,     0.49884
       97,          54,  1.029294,     0.063546,        0.019961,     0.42184
       98,          54,  1.138183,     0.070278,        0.024843,     0.49184
       99,          54,  1.125387,     0.069476,        0.027358,     0.44684
      100,          53,  1.157141,     0.071443,        0.022   ,     0.48984
