Device,CPU_s,Energy_J
22,0.221112,0.013614
23,4.328112,0.267351
24,0.223112,0.013737
25,0.355112,0.021895
26,0.362368,0.022343
27,14.792368,0.914035
28,0.365368,0.022532
29,0.446368,0.027534
30,0.466368,0.028770
31,0.413112,0.025479
32,0.278112,0.017136
33,0.224112,0.013799
34,0.163112,0.010029
35,0.196112,0.012069
36,0.567368,0.035012
37,0.521368,0.032146
38,0.601368,0.037109
39,0.407368,0.025124
40,0.389368,0.024012
41,0.186112,0.011451
42,0.186112,0.011451
43,0.189192,0.011641
44,0.193112,0.011883
45,0.199112,0.012256
46,0.307368,0.018944
47,0.497368,0.030686
48,0.501368,0.030933
49,0.481368,0.029644
50,0.525624,0.032432
51,0.294112,0.018125
52,0.390368,0.024074
53,0.376368,0.023208
54,0.327368,0.020180
55,0.364112,0.022453
56,0.409368,0.025248
57,0.405368,0.025001
58,0.464368,0.028647
59,0.485368,0.029945
60,0.451624,0.027859
61,0.263368,0.016225
62,0.376368,0.023208
63,0.369368,0.022776
64,0.323368,0.019911
65,0.418368,0.025762
66,0.338368,0.020860
67,0.404368,0.024939
68,0.509368,0.031428
69,0.521368,0.032169
70,0.609624,0.037624
71,0.284368,0.017523
72,0.245368,0.015113
73,0.290320,0.017867
74,0.350368,0.021602
75,0.254368,0.015669
76,0.558368,0.034456
77,0.500368,0.030872
78,0.491368,0.030315
79,0.720624,0.044479
80,0.517624,0.031938
81,0.523928,0.032323
82,0.236368,0.014556
83,0.417368,0.025723
84,0.286736,0.017669
85,0.409368,0.025248
86,0.303736,0.018720
87,0.438368,0.027017
88,0.575624,0.035522
89,0.511624,0.031567
90,0.729624,0.045040
91,0.410368,0.025310
92,0.270368,0.016658
93,0.371368,0.022899
94,0.342368,0.021070
95,0.334624,0.020629
96,0.520624,0.032123
97,0.802624,0.049551
98,0.527624,0.032556
99,0.520624,0.032123
100,0.631624,0.038964
