Device,CPU_s,Energy_J
22,0.054816,0.003362
23,0.151816,0.009356
24,0.076816,0.004721
25,0.085816,0.005278
26,0.188976,0.011636
27,0.279072,0.017224
28,0.241072,0.014872
29,0.316072,0.019507
30,0.215072,0.013266
31,0.227816,0.014053
32,0.133816,0.008244
33,0.109816,0.006761
34,0.067816,0.004165
35,0.091848,0.005650
36,0.212072,0.013080
37,0.338072,0.020867
38,0.208072,0.012833
39,0.304072,0.018766
40,0.270960,0.016719
41,0.131816,0.008120
42,0.200816,0.012385
43,0.106816,0.006575
44,0.096816,0.005957
45,0.132816,0.008183
46,0.185072,0.011412
47,0.291072,0.017962
48,0.311072,0.019198
49,0.181072,0.011164
50,0.219328,0.013529
51,0.110176,0.006783
52,0.189072,0.011659
53,0.229512,0.014158
54,0.089144,0.005483
55,0.095888,0.005901
56,0.208072,0.012833
57,0.230072,0.014193
58,0.258072,0.015923
59,0.188072,0.011597
60,0.280656,0.017319
61,0.152072,0.009351
62,0.194072,0.011968
63,0.294072,0.018148
64,0.309072,0.019075
65,0.393072,0.024266
66,0.133072,0.008198
67,0.195136,0.012033
68,0.220072,0.013575
69,0.178144,0.010983
70,0.394328,0.024322
71,0.197072,0.012153
72,0.125072,0.007704
73,0.127072,0.007827
74,0.240072,0.014811
75,0.254072,0.015676
76,0.318072,0.019631
77,0.286072,0.017653
78,0.181072,0.011164
79,0.523328,0.032316
80,0.503328,0.031080
81,0.149072,0.009187
82,0.184072,0.011350
83,0.222176,0.013705
84,0.148072,0.009125
85,0.186720,0.011513
86,0.151640,0.009345
87,0.218072,0.013451
88,0.332656,0.020532
89,0.221328,0.013652
90,0.342328,0.021130
91,0.151072,0.009310
92,0.132072,0.008136
93,0.198072,0.012215
94,0.205072,0.012648
95,0.117328,0.007225
96,0.281328,0.017360
97,0.200328,0.012354
98,0.327328,0.020203
99,0.338328,0.020883
100,0.225328,0.013899
