Device, CPU_s   , Energy_J
    52, 0.222112, 0.013684
    53, 0.339112, 0.020910
    54, 0.233112, 0.014364
    55, 0.193112, 0.011892
    56, 0.279112, 0.017207
    57, 0.340112, 0.020976
    58, 0.370112, 0.022830
    59, 0.319112, 0.019679
    60, 0.529368, 0.032664
    61, 0.146112, 0.008987
    62, 0.182112, 0.011212
    63, 0.282224, 0.017399
    64, 0.278112, 0.017145
    65, 0.275224, 0.016966
    66, 0.258112, 0.015884
    67, 0.259112, 0.015971
    68, 0.404112, 0.024932
    69, 0.310112, 0.019122
    70, 0.451736, 0.027875
    71, 0.240112, 0.014796
    72, 0.223224, 0.013753
    73, 0.243112, 0.014982
    74, 0.162112, 0.009976
    75, 0.076856, 0.004721
    76, 0.352112, 0.021718
    77, 0.289112, 0.017825
    78, 0.300112, 0.018504
    79, 0.354368, 0.021857
    80, 0.133112, 0.008197
    81, 0.081856, 0.005030
    82, 0.352112, 0.021718
    83, 0.247112, 0.015229
    84, 0.223112, 0.013746
    85, 0.319112, 0.019668
    86, 0.254112, 0.015662
    87, 0.304112, 0.018752
    88, 0.650368, 0.040150
    89, 0.391368, 0.024144
    90, 0.385368, 0.023773
    91, 0.078856, 0.004844
    92, 0.298112, 0.018381
    93, 0.122856, 0.007564
    94, 0.282112, 0.017392
    95, 0.384368, 0.023711
    96, 0.384368, 0.023711
    97, 0.507368, 0.031313
    98, 0.444368, 0.027419
    99, 0.299368, 0.018458
   100, 0.597368, 0.036875
   101, 0.099856, 0.006142
