Device, CPU_s   , Energy_J
    52, 0.340368, 0.020984
    53, 0.315368, 0.019439
    54, 0.323368, 0.019933
    55, 0.397368, 0.024506
    56, 0.244368, 0.015051
    57, 0.486368, 0.030006
    58, 0.471368, 0.029079
    59, 0.368368, 0.022714
    60, 0.594624, 0.036678
    61, 0.317368, 0.019562
    62, 0.352368, 0.021725
    63, 0.305368, 0.018821
    64, 0.398368, 0.024568
    65, 0.299368, 0.018450
    66, 0.460368, 0.028400
    67, 0.407368, 0.025124
    68, 0.462368, 0.028523
    69, 0.362368, 0.022343
    70, 0.562624, 0.034719
    71, 0.331368, 0.020427
    72, 0.317368, 0.019562
    73, 0.324368, 0.019995
    74, 0.340480, 0.020967
    75, 0.239112, 0.014728
    76, 0.359408, 0.022160
    77, 0.428368, 0.026422
    78, 0.420368, 0.025928
    79, 0.552624, 0.034101
    80, 0.451368, 0.027823
    81, 0.271112, 0.016706
    82, 0.400368, 0.024692
    83, 0.370368, 0.022838
    84, 0.348368, 0.021478
    85, 0.328368, 0.020242
    86, 0.391368, 0.024135
    87, 0.436368, 0.026916
    88, 0.477624, 0.029466
    89, 0.461624, 0.028477
    90, 0.478624, 0.029528
    91, 0.253112, 0.015593
    92, 0.351368, 0.021663
    93, 0.183112, 0.011267
    94, 0.350368, 0.021602
    95, 0.446624, 0.027550
    96, 0.530624, 0.032732
    97, 0.550624, 0.033977
    98, 0.713248, 0.044028
    99, 0.733624, 0.045268
   100, 0.742624, 0.045843
   101, 0.163112, 0.010031
