Device,CPU_s,Energy_J
22,0.149856,0.009219
23,0.155856,0.009589
24,0.141856,0.008724
25,0.233856,0.014410
26,0.327112,0.020160
27,0.347112,0.021409
28,0.313112,0.019308
29,0.455112,0.028083
30,0.321112,0.019802
31,0.122856,0.007550
32,0.128856,0.007921
33,0.120856,0.007426
34,0.171856,0.010578
35,0.205856,0.012679
36,0.498112,0.030742
37,0.317112,0.019551
38,0.292112,0.018010
39,0.256112,0.015785
40,0.352112,0.021718
41,0.150856,0.009280
42,0.243856,0.015023
43,0.137856,0.008477
44,0.162856,0.009997
45,0.054968,0.003368
46,0.255112,0.015723
47,0.360112,0.022212
48,0.273224,0.016843
49,0.322112,0.019864
50,0.266368,0.016419
51,0.118856,0.007303
52,0.319112,0.019679
53,0.242112,0.014920
54,0.204112,0.012572
55,0.078856,0.004844
56,0.299112,0.018443
57,0.339224,0.020922
58,0.472112,0.029125
59,0.245224,0.015112
60,0.399368,0.024638
61,0.245112,0.015079
62,0.225112,0.013869
63,0.260112,0.016032
64,0.244112,0.015044
65,0.243112,0.014982
66,0.301112,0.018566
67,0.278112,0.017145
68,0.341112,0.021038
69,0.258112,0.015909
70,0.513368,0.031659
71,0.260112,0.016032
72,0.185112,0.011397
73,0.289112,0.017825
74,0.196152,0.012080
75,0.204112,0.012572
76,0.331112,0.020420
77,0.366112,0.022558
78,0.311112,0.019184
79,0.415736,0.025650
80,0.303368,0.018706
81,0.210112,0.012942
82,0.238112,0.014673
83,0.197112,0.012139
84,0.301112,0.018566
85,0.273112,0.016836
86,0.197112,0.012139
87,0.486112,0.029999
88,0.425368,0.026245
89,0.450368,0.027790
90,0.349368,0.021548
91,0.410112,0.025302
92,0.244112,0.015044
93,0.242112,0.014920
94,0.376112,0.023201
95,0.210368,0.012958
96,0.413368,0.025504
97,0.326368,0.020127
98,0.358368,0.022105
99,0.352368,0.021734
100,0.399368,0.024638
