Device, CPU_s   , Energy_J
    52, 0.280072, 0.017283
    53, 0.361072, 0.022267
    54, 0.161072, 0.009928
    55, 0.261072, 0.016104
    56, 0.161072, 0.009928
    57, 0.255136, 0.015699
    58, 0.237072, 0.014625
    59, 0.174144, 0.010736
    60, 0.261328, 0.016124
    61, 0.222104, 0.013700
    62, 0.157072, 0.009681
    63, 0.111072, 0.006838
    64, 0.134072, 0.008260
    65, 0.231976, 0.014315
    66, 0.285144, 0.017596
    67, 0.232072, 0.014316
    68, 0.261072, 0.016108
    69, 0.210072, 0.012957
    70, 0.260328, 0.016062
    71, 0.202072, 0.012462
    72, 0.141072, 0.008692
    73, 0.195072, 0.012030
    74, 0.161072, 0.009928
    75, 0.120816, 0.007442
    76, 0.225072, 0.013884
    77, 0.275072, 0.016974
    78, 0.384072, 0.023710
    79, 0.135328, 0.008337
    80, 0.124072, 0.007643
    81, 0.139816, 0.008616
    82, 0.152072, 0.009372
    83, 0.109072, 0.006715
    84, 0.154072, 0.009496
    85, 0.211072, 0.013018
    86, 0.332072, 0.020496
    87, 0.436072, 0.026923
    88, 0.352328, 0.021748
    89, 0.273328, 0.016866
    90, 0.348328, 0.021501
    91, 0.114816, 0.007071
    92, 0.186072, 0.011473
    93, 0.091816, 0.005649
    94, 0.174072, 0.010732
    95, 0.505328, 0.031203
    96, 0.276656, 0.017071
    97, 0.394328, 0.024344
    98, 0.297328, 0.018349
    99, 0.228328, 0.014085
   100, 0.292328, 0.018040
   101, 0.139816, 0.008616
