Device_ID,CPU_Time_s,Energy_J
97,0.312112,0.019244
98,0.248523,0.015316
99,0.311512,0.019207
100,0.228012,0.014046
101,0.310712,0.019159
102,0.212712,0.013103
103,0.299412,0.018461
104,0.225823,0.013913
105,0.297734,0.018358
106,0.237712,0.014648
107,0.387868,0.023924
108,0.305209,0.018819
109,0.300612,0.018535
110,0.229512,0.014141
111,0.323112,0.019926
112,0.248112,0.015288
113,0.313546,0.019335
114,0.230712,0.014216
115,0.300934,0.018553
116,0.338905,0.020902
117,0.409868,0.025287
118,0.310805,0.019165
119,0.399742,0.024659
120,0.315168,0.019435
