Device_ID,CPU_Time_s,Energy_J
97,0.436405,0.026919
98,0.319088,0.019668
99,0.416705,0.025697
100,0.294105,0.018125
101,0.411468,0.025377
102,0.349168,0.021528
103,0.446868,0.027563
104,0.347505,0.021425
105,0.422568,0.026063
106,0.322535,0.019882
107,0.562324,0.034700
108,0.477286,0.029445
109,0.421868,0.026018
110,0.336868,0.020762
111,0.435805,0.026881
112,0.335349,0.020664
113,0.488405,0.030123
114,0.339368,0.020922
115,0.441905,0.027255
116,0.406324,0.025059
117,0.502086,0.030975
118,0.412849,0.025463
119,0.506244,0.031235
120,0.449324,0.027716
