Device_ID,CPU_Time_s,Energy_J
97,0.257572,0.015892
98,0.154476,0.009521
99,0.230186,0.014200
100,0.170379,0.010504
101,0.255078,0.015736
102,0.157579,0.009712
103,0.236361,0.014581
104,0.158775,0.009787
105,0.216179,0.013332
106,0.184872,0.011399
107,0.292214,0.018031
108,0.233638,0.014411
109,0.224469,0.013846
110,0.176579,0.010887
111,0.233372,0.014397
112,0.156986,0.009676
113,0.233872,0.014425
114,0.155572,0.009588
115,0.228754,0.014111
116,0.238261,0.014699
117,0.279261,0.017233
118,0.265728,0.016394
119,0.283561,0.017498
120,0.220566,0.013605
