Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,49.77562400,1.03871200,0.61705600,1.01994400,4.95700000,3.07584900,0.06408100,0.03806800,0.06290300,0.30619800
82,64.13762400,0.78255200,0.40521600,0.72694400,1.60393600,3.96323700,0.04826400,0.02499500,0.04482700,0.09902500
83,47.38662400,1.00671200,0.33805600,0.82794400,1.41300000,2.92822700,0.06206700,0.02083600,0.05105600,0.08718100
84,54.66862400,0.80871200,0.25905600,0.81694400,0.84500000,3.37823100,0.04988000,0.01596700,0.05038900,0.05212300
85,67.90662400,1.02971200,0.45705600,1.33388000,0.65340000,4.19633100,0.06353800,0.02815400,0.08225600,0.04028200
86,47.60562400,1.25471200,0.61305600,1.27094400,0.75300000,2.94170100,0.07744300,0.03784400,0.07839800,0.04640300
87,62.17514400,0.98506400,0.43218400,1.28594400,5.29193600,3.84210700,0.06077900,0.02666600,0.07936600,0.32687400
88,26.47762400,0.97904800,0.64972000,0.79028000,4.06033600,1.63602500,0.06040700,0.04009200,0.04872000,0.25080700
89,28.92362400,0.69871200,0.50105600,1.25394400,1.39133600,1.78722500,0.04305700,0.03089700,0.07731800,0.08588600
90,57.19862400,1.52164800,0.44312000,0.89403200,13.09584800,3.53454500,0.09391900,0.02732100,0.05512800,0.80917900
91,28.27162400,1.36171200,0.47605600,0.66433600,1.23233600,1.74691800,0.08397900,0.02937800,0.04095400,0.07600900
92,24.36262400,0.71071200,0.44805600,0.79167200,0.91833600,1.50537600,0.04382400,0.02764700,0.04880400,0.05652800
93,58.24762400,0.98264800,0.97212000,1.15988000,4.70700000,3.59935800,0.06062900,0.05998900,0.07155300,0.29074700
94,32.46062400,0.69171200,0.35744800,1.23433600,4.70527200,2.00578300,0.04265000,0.02204800,0.07608500,0.29045700
95,23.25762400,1.09871200,0.61639200,0.76633600,0.99133600,1.43707600,0.06777900,0.03805100,0.04723800,0.06116600
96,24.67962400,5.76471200,0.34639200,0.58033600,1.04127200,1.52500400,0.35605000,0.02136500,0.03576700,0.06420100
97,28.76562400,0.94471200,0.73839200,1.09733600,0.71633600,1.77741000,0.05828500,0.04559000,0.06760200,0.04414800
98,36.33562400,1.35671200,0.23605600,5.42427200,0.60633600,2.24527300,0.08370600,0.01454600,0.33505600,0.03737300
99,30.01962400,0.82855200,0.40339200,0.79433600,0.60733600,1.85495100,0.05110600,0.02487500,0.04891600,0.03743500
100,56.44662400,0.89471200,0.39005600,0.65733600,0.68233600,3.48807600,0.05514800,0.02406300,0.04045500,0.04207000
