Device_ID,CPU_Time_s,Energy_J
97,1.062132,0.065580
98,1.131384,0.069857
99,1.106532,0.068319
100,1.061932,0.065551
101,1.365376,0.084303
102,1.122332,0.069287
103,1.279232,0.078979
104,0.983238,0.060697
105,0.832832,0.051401
106,0.877429,0.054154
107,3.219584,0.198891
108,3.202032,0.197814
109,0.827932,0.051095
110,0.863932,0.053318
111,0.785432,0.048475
112,0.905838,0.055913
113,0.972832,0.060053
114,1.047532,0.064674
115,0.888529,0.054841
116,0.793838,0.048981
117,0.716932,0.044242
118,0.680232,0.041976
119,0.780432,0.048168
120,2.944632,0.181897
