Device_ID,CPU_Time_s,Energy_J
97,0.419787,0.025891
98,0.423884,0.026142
99,0.450342,0.027779
100,0.416984,0.025717
101,0.429084,0.026465
102,0.455842,0.028119
103,0.456884,0.028183
104,0.458584,0.028281
105,0.397184,0.024490
106,0.440284,0.027151
107,0.548440,0.033837
108,0.604240,0.037287
109,0.335884,0.020705
110,0.356984,0.022004
111,0.337584,0.020811
112,0.360784,0.022241
113,0.327284,0.020174
114,0.312484,0.019259
115,0.356872,0.022000
116,0.452040,0.027884
117,0.433140,0.026716
118,0.455940,0.028125
119,0.460240,0.028391
120,0.450108,0.027762
