User_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,52.60834400,0.56499200,0.27793600,0.94106400,0.24693600,3.25094000,0.03483900,0.01713200,0.05793500,0.01521600
82,54.10761600,0.46032000,0.34540000,1.24733600,0.57736000,3.34365300,0.02835600,0.02125200,0.07687900,0.03561700
83,54.68834400,0.68699200,0.29893600,1.62906400,0.41501600,3.37950000,0.04237900,0.01843000,0.10051200,0.02560300
84,58.82334400,0.83899200,0.32393600,0.97606400,0.30793600,3.63504700,0.05175800,0.01997000,0.06016900,0.01897100
85,65.55834400,0.80399200,0.59293600,1.56830400,0.28869600,4.05129900,0.04958700,0.03648500,0.09670200,0.01777200
86,51.17934400,1.07099200,0.22693600,1.60906400,0.31493600,3.16262000,0.06611000,0.01394600,0.09929300,0.01939100
87,61.82034400,0.59899200,0.17993600,1.41106400,0.45393600,3.82023300,0.03694100,0.01107500,0.08704500,0.02797900
88,62.36334400,0.76999200,0.38693600,1.56916000,0.43284000,3.85379600,0.04744700,0.02386800,0.09678600,0.02670000
89,27.37234400,0.77799200,0.27193600,1.40806400,0.27427200,1.69142700,0.04800300,0.01676100,0.08673500,0.01688400
90,22.43634400,0.76399200,0.25293600,1.27133600,0.30027200,1.38642800,0.04708700,0.01558700,0.07837700,0.01851200
91,46.78534400,0.65699200,0.56793600,2.01712800,0.41787200,2.89110700,0.04042900,0.03504900,0.12438900,0.02578000
92,22.87934400,0.50099200,0.24727200,0.97333600,0.47127200,1.41379300,0.03088700,0.01523300,0.06000500,0.02905500
93,49.71134400,0.62499200,0.30593600,1.10906400,0.26327200,3.07195800,0.03852400,0.01886200,0.06837700,0.01620300
94,24.62934400,0.45999200,0.36527200,1.30433600,0.36760800,1.52190000,0.02835000,0.02250800,0.08036200,0.02265800
95,30.48340800,0.69592800,0.36145600,2.15133600,0.36327200,1.88364800,0.04291800,0.02224800,0.13269600,0.02240600
96,56.29934400,0.65599200,0.56993600,1.03006400,0.29627200,3.47910100,0.04032200,0.03512300,0.06349500,0.01826500
97,30.67634400,0.55632800,0.18827200,0.86733600,0.25127200,1.89562700,0.03428300,0.01159100,0.05345400,0.01548400
98,27.27634400,0.86999200,0.58227200,5.75233600,0.27727200,1.68550200,0.05368800,0.03589000,0.35533000,0.01709100
99,22.20334400,0.49432800,0.75227200,0.67433600,0.12827200,1.37200300,0.03043300,0.04638100,0.04152600,0.00788300
100,25.61334400,0.78999200,0.53427200,1.11533600,0.22127200,1.58273600,0.04874700,0.03292300,0.06872000,0.01363000
