Device,Auth_CPU_s,Auth_Energy_J,Auth_Energy_mJ,Phase_Covered,Num_Seeds
81,0.324392,0.020022,20.0220,Auth+KeyEx,1
82,0.181880,0.011214,11.2140,Auth+KeyEx,1
83,0.116880,0.007197,7.1970,Auth+KeyEx,1
84,0.158136,0.009747,9.7470,Auth+KeyEx,1
85,0.262136,0.016174,16.1740,Auth+KeyEx,1
86,0.162880,0.010040,10.0400,Auth+KeyEx,1
87,0.207272,0.012784,12.7840,Auth+KeyEx,1
88,0.256392,0.015819,15.8190,Auth+KeyEx,1
89,0.270136,0.016668,16.6680,Auth+KeyEx,1
90,0.117880,0.007259,7.2590,Auth+KeyEx,1
91,0.197136,0.012157,12.1570,Auth+KeyEx,1
92,0.238136,0.014691,14.6910,Auth+KeyEx,1
93,0.144880,0.008928,8.9280,Auth+KeyEx,1
94,0.309704,0.019114,19.1140,Auth+KeyEx,1
95,0.299880,0.018507,18.5070,Auth+KeyEx,1
96,0.109880,0.006765,6.7650,Auth+KeyEx,1
97,0.246136,0.015185,15.1850,Auth+KeyEx,1
98,0.279136,0.017225,17.2250,Auth+KeyEx,1
99,0.240312,0.014825,14.8250,Auth+KeyEx,1
100,0.203136,0.012528,12.5280,Auth+KeyEx,1
